"","Studentnummer","Landen_vooropleiding","BSA"
"17","4012203","NL","Positief"
"1100","4013174","NL","Positief"
"43","4013283","NL","Positief"
"1078","4013718","NL","Positief"
"121","4013823","NL","Negatief"
"981","4013881","NL","Negatief"
"11","4013902","NL","Positief"
"1774","4014278","ES","Positief"
"949","4015070","NL","Positief"
"1857","4015149","BE","Positief"
"1375","4015268","GE","Positief"
"284","4015922","NL","Positief"
"896","4015982","NL","Positief"
"1862","4016185","BE","Negatief"
"2047","4016464","US","Positief"
"2080","4016826","US","Negatief"
"620","4017086","NL","Positief"
"1532","4017658","IT","Negatief"
"451","4017818","NL","Negatief"
"1626","4017950","UK","Negatief"
"180","4018143","NL","Positief"
"2196","4018296","US","Positief"
"646","4018333","NL","Positief"
"1108","4018381","NL","Positief"
"448","4018934","NL","Positief"
"940","4018983","NL","Positief"
"1013","4019317","NL","Positief"
"353","4019509","NL","Positief"
"1576","4019673","IT","Positief"
"308","4019771","NL","Positief"
"2117","4019831","US","Positief"
"612","4019973","NL","Positief"
"954","4020273","NL","Positief"
"1496","4020420","GE","Positief"
"1273","4020890","NL","Positief"
"1200","4021015","NL","Positief"
"694","4021059","NL","Positief"
"1468","4021235","GE","Positief"
"1795","4021453","BE","Positief"
"2163","4021829","US","Positief"
"37","4021874","NL","Positief"
"1995","4021882","US","Negatief"
"1456","4022118","GE","Positief"
"1984","4022218","US","Positief"
"1323","4022444","GE","Positief"
"570","4022550","NL","Positief"
"592","4022966","NL","Positief"
"659","4023232","NL","Positief"
"1440","4023261","GE","Positief"
"1457","4023366","GE","Negatief"
"1342","4023834","GE","Positief"
"166","4023835","NL","Positief"
"1608","4023927","IT","Negatief"
"1026","4023996","NL","Positief"
"1","4024387","NL","Positief"
"622","4024810","NL","Negatief"
"790","4025065","NL","Positief"
"7","4025172","NL","Negatief"
"1205","4025185","NL","Positief"
"688","4025247","NL","Positief"
"13","4025304","NL","Positief"
"962","4025369","NL","Positief"
"727","4025392","NL","Positief"
"850","4026007","NL","Positief"
"1235","4026432","NL","Positief"
"1389","4026543","GE","Positief"
"1462","4026569","GE","Positief"
"208","4026592","NL","Positief"
"504","4026720","NL","Positief"
"1981","4026841","US","Positief"
"456","4026945","NL","Positief"
"1734","4027016","ES","Positief"
"81","4027074","NL","Positief"
"1036","4027095","NL","Positief"
"281","4027218","NL","Positief"
"918","4027247","NL","Positief"
"1949","4027383","US","Positief"
"175","4027415","NL","Positief"
"184","4027539","NL","Positief"
"1327","4027631","GE","Positief"
"1202","4027725","NL","Positief"
"1137","4027959","NL","Positief"
"1718","4027992","UK","Positief"
"373","4028080","NL","Positief"
"879","4028453","NL","Positief"
"1704","4028467","UK","Positief"
"1931","4028489","US","Positief"
"762","4028815","NL","Positief"
"442","4028977","NL","Positief"
"708","4029175","NL","Positief"
"701","4029304","NL","Positief"
"1261","4029784","NL","Negatief"
"515","4030301","NL","Positief"
"247","4030612","NL","Positief"
"342","4030810","NL","Positief"
"1963","4031005","US","Positief"
"1517","4031029","GE","Positief"
"1432","4031318","GE","Positief"
"2128","4031902","US","Positief"
"2073","4031958","US","Positief"
"2131","4032424","US","Negatief"
"156","4032440","NL","Positief"
"518","4033153","NL","Positief"
"847","4033488","NL","Positief"
"500","4033621","NL","Positief"
"1568","4033789","IT","Positief"
"1189","4034473","NL","Positief"
"867","4035063","NL","Positief"
"884","4035539","NL","Positief"
"827","4035608","NL","Positief"
"2055","4035784","US","Positief"
"1430","4036498","GE","Positief"
"1930","4037083","US","Positief"
"2164","4037271","US","Positief"
"878","4037397","NL","Positief"
"1663","4037716","UK","Positief"
"1195","4038035","NL","Positief"
"2110","4038285","US","Positief"
"1066","4038895","NL","Positief"
"54","4039240","NL","Positief"
"969","4039247","NL","Positief"
"2070","4039499","US","Positief"
"346","4039557","NL","Positief"
"1287","4039881","NL","Positief"
"724","4040077","NL","Positief"
"1296","4040231","GE","Positief"
"1376","4040333","GE","Positief"
"761","4040335","NL","Positief"
"383","4040976","NL","Positief"
"1772","4041104","ES","Positief"
"2165","4041278","US","Positief"
"1609","4041297","IT","Positief"
"1998","4041542","US","Positief"
"302","4041607","NL","Positief"
"532","4041950","NL","Positief"
"273","4042212","NL","Positief"
"1005","4042657","NL","Positief"
"1837","4042880","BE","Positief"
"1022","4042977","NL","Positief"
"307","4043781","NL","Positief"
"1359","4043824","GE","Positief"
"360","4044289","NL","Positief"
"1194","4044326","NL","Positief"
"1709","4044330","UK","Positief"
"1411","4044379","GE","Positief"
"1250","4044774","NL","Positief"
"2084","4044932","US","Positief"
"25","4045398","NL","Positief"
"1125","4045657","NL","Positief"
"805","4046185","NL","Positief"
"1070","4046740","NL","Positief"
"526","4046773","NL","Positief"
"443","4047111","NL","Positief"
"2161","4047188","US","Positief"
"1947","4047399","US","Positief"
"1647","4047541","UK","Positief"
"271","4047931","NL","Positief"
"1245","4049049","NL","Positief"
"1782","4049144","ES","Positief"
"608","4049431","NL","Positief"
"132","4049460","NL","Positief"
"789","4049761","NL","Positief"
"528","4050572","NL","Positief"
"480","4050910","NL","Positief"
"1680","4051224","UK","Positief"
"130","4051612","NL","Positief"
"440","4051723","NL","Positief"
"1530","4051995","IT","Positief"
"1698","4052566","UK","Positief"
"616","4052616","NL","Positief"
"832","4052830","NL","Positief"
"1501","4053317","GE","Positief"
"1499","4054181","GE","Negatief"
"952","4054442","NL","Positief"
"704","4055015","NL","Positief"
"97","4055083","NL","Positief"
"1075","4055244","NL","Positief"
"1283","4055398","NL","Positief"
"1697","4055517","UK","Positief"
"1939","4055774","US","Positief"
"113","4055967","NL","Positief"
"1379","4056427","GE","Positief"
"1321","4056561","GE","Negatief"
"1218","4056590","NL","Positief"
"73","4056658","NL","Positief"
"715","4056960","NL","Positief"
"672","4057065","NL","Positief"
"461","4057297","NL","Positief"
"720","4057298","NL","Positief"
"1253","4057558","NL","Positief"
"210","4057634","NL","Positief"
"1633","4057712","UK","Positief"
"642","4057718","NL","Positief"
"1661","4057747","UK","Positief"
"740","4057805","NL","Positief"
"1145","4058353","NL","Positief"
"778","4058504","NL","Positief"
"997","4058592","NL","Positief"
"79","4058660","NL","Positief"
"86","4058683","NL","Positief"
"1482","4058802","GE","Negatief"
"623","4058918","NL","Positief"
"542","4059123","NL","Positief"
"1662","4059271","UK","Positief"
"1788","4059276","BE","Positief"
"1051","4059874","NL","Positief"
"759","4060015","NL","Positief"
"1760","4060772","ES","Positief"
"124","4061139","NL","Positief"
"506","4061564","NL","Positief"
"1508","4061601","GE","Positief"
"123","4061797","NL","Positief"
"1500","4062107","GE","Positief"
"1631","4062710","UK","Positief"
"392","4062912","NL","Positief"
"2060","4063176","US","Positief"
"2081","4064097","US","Negatief"
"412","4064249","NL","Positief"
"1959","4064303","US","Negatief"
"756","4064508","NL","Positief"
"1012","4064558","NL","Positief"
"1932","4064674","US","Positief"
"425","4064923","NL","Positief"
"372","4065281","NL","Positief"
"1533","4065382","IT","Negatief"
"1979","4065454","US","Positief"
"1822","4065870","BE","Positief"
"1897","4066333","US","Positief"
"57","4066393","NL","Positief"
"1805","4066870","BE","Negatief"
"1581","4066884","IT","Negatief"
"1122","4067470","NL","Positief"
"1259","4067696","NL","Positief"
"417","4067808","NL","Positief"
"398","4067886","NL","Positief"
"2090","4067926","US","Positief"
"1937","4068057","US","Positief"
"1879","4068231","BE","Positief"
"1686","4068233","UK","Positief"
"1993","4068277","US","Positief"
"1076","4068463","NL","Positief"
"676","4068833","NL","Positief"
"214","4068953","NL","Negatief"
"1378","4069387","GE","Positief"
"1493","4069457","GE","Negatief"
"1648","4069627","UK","Positief"
"306","4069789","NL","Positief"
"983","4069833","NL","Positief"
"602","4069859","NL","Positief"
"1289","4069953","GE","Positief"
"1201","4070342","NL","Positief"
"885","4070361","NL","Positief"
"1922","4070546","US","Positief"
"420","4070566","NL","Positief"
"1011","4070773","NL","Positief"
"839","4070816","NL","Positief"
"2114","4071363","US","Positief"
"1317","4071967","GE","Positief"
"1901","4071992","US","Positief"
"654","4072008","NL","Positief"
"2083","4072049","US","Positief"
"804","4072195","NL","Positief"
"554","4072353","NL","Negatief"
"637","4072385","NL","Positief"
"293","4072525","NL","Positief"
"2113","4073196","US","Negatief"
"531","4073589","NL","Negatief"
"1383","4073674","GE","Positief"
"1723","4073900","UK","Positief"
"1231","4074000","NL","Positief"
"1208","4074187","NL","Positief"
"1146","4074580","NL","Positief"
"1224","4075165","NL","Positief"
"707","4075327","NL","Positief"
"1521","4075350","GE","Negatief"
"1448","4075516","GE","Positief"
"919","4075609","NL","Positief"
"1895","4075675","US","Positief"
"1803","4076111","BE","Negatief"
"649","4076332","NL","Positief"
"109","4076379","NL","Positief"
"1729","4077078","UK","Negatief"
"460","4077195","NL","Positief"
"2187","4077586","US","Negatief"
"2135","4077885","US","Positief"
"2064","4078028","US","Negatief"
"89","4078070","NL","Positief"
"1920","4078635","US","Positief"
"1000","4078723","NL","Negatief"
"1630","4078772","UK","Positief"
"823","4078886","NL","Negatief"
"2150","4079393","US","Positief"
"1190","4079827","NL","Positief"
"1800","4079931","BE","Positief"
"1348","4079958","GE","Positief"
"143","4080039","NL","Positief"
"310","4080257","NL","Positief"
"937","4080432","NL","Positief"
"1819","4080468","BE","Positief"
"183","4080639","NL","Positief"
"1667","4080682","UK","Positief"
"1595","4080993","IT","Positief"
"1850","4081231","BE","Positief"
"1305","4081444","GE","Positief"
"2177","4082199","US","Positief"
"2005","4082583","US","Positief"
"462","4082734","NL","Positief"
"416","4082878","NL","Negatief"
"1848","4082920","BE","Positief"
"492","4082962","NL","Positief"
"171","4083184","NL","Positief"
"495","4083406","NL","Positief"
"2033","4083472","US","Positief"
"1040","4083661","NL","Positief"
"257","4083732","NL","Positief"
"1246","4083903","NL","Positief"
"1739","4083972","ES","Positief"
"1720","4084154","UK","Positief"
"550","4084450","NL","Negatief"
"1834","4084573","BE","Positief"
"215","4084803","NL","Positief"
"491","4084966","NL","Negatief"
"2151","4085027","US","Positief"
"1618","4085112","UK","Positief"
"1239","4085353","NL","Positief"
"1656","4085464","UK","Positief"
"772","4085652","NL","Negatief"
"204","4085724","NL","Positief"
"1908","4086083","US","Negatief"
"1831","4086231","BE","Positief"
"828","4086528","NL","Positief"
"262","4087080","NL","Negatief"
"2174","4087345","US","Positief"
"1277","4087882","NL","Positief"
"904","4088306","NL","Positief"
"385","4088359","NL","Positief"
"1172","4089340","NL","Positief"
"870","4089577","NL","Positief"
"1972","4089818","US","Positief"
"1628","4090352","UK","Positief"
"268","4090603","NL","Positief"
"170","4090721","NL","Positief"
"520","4090881","NL","Positief"
"681","4090890","NL","Positief"
"1541","4091240","IT","Negatief"
"1143","4091302","NL","Positief"
"610","4091321","NL","Positief"
"228","4091563","NL","Positief"
"1387","4091678","GE","Positief"
"1113","4092030","NL","Positief"
"30","4092198","NL","Positief"
"277","4092292","NL","Positief"
"883","4092546","NL","Positief"
"709","4092733","NL","Negatief"
"1904","4092801","US","Positief"
"1381","4093104","GE","Positief"
"549","4093138","NL","Positief"
"2098","4093172","US","Positief"
"2198","4093898","US","Positief"
"1790","4094396","BE","Negatief"
"1028","4094444","NL","Negatief"
"1409","4094445","GE","Negatief"
"636","4094614","NL","Positief"
"1652","4094745","UK","Positief"
"1344","4095082","GE","Positief"
"1525","4095200","GE","Positief"
"566","4095464","NL","Positief"
"1453","4095912","GE","Positief"
"1211","4096480","NL","Positief"
"798","4096683","NL","Positief"
"24","4096811","NL","Positief"
"1555","4097230","IT","Positief"
"939","4097358","NL","Positief"
"868","4097396","NL","Negatief"
"1550","4097639","IT","Positief"
"1086","4097773","NL","Positief"
"59","4098015","NL","Positief"
"1492","4098179","GE","Positief"
"2137","4098431","US","Negatief"
"2102","4098466","US","Positief"
"1615","4098517","UK","Positief"
"1088","4098532","NL","Positief"
"1912","4098615","US","Positief"
"738","4098914","NL","Positief"
"110","4098967","NL","Positief"
"111","4099022","NL","Positief"
"625","4099090","NL","Positief"
"1293","4099184","GE","Positief"
"206","4099269","NL","Positief"
"101","4099521","NL","Positief"
"2044","4100287","US","Positief"
"1102","4100427","NL","Positief"
"1004","4100538","NL","Positief"
"721","4100570","NL","Positief"
"507","4100588","NL","Positief"
"1094","4100604","NL","Positief"
"1257","4100681","NL","Positief"
"1405","4101355","GE","Positief"
"2010","4101917","US","Positief"
"74","4102050","NL","Positief"
"679","4102367","NL","Negatief"
"187","4102515","NL","Positief"
"1433","4102774","GE","Positief"
"1621","4102788","UK","Positief"
"1627","4102853","UK","Positief"
"1150","4103107","NL","Positief"
"1855","4103272","BE","Positief"
"1302","4103741","GE","Positief"
"1117","4104139","NL","Positief"
"96","4104239","NL","Positief"
"2024","4104487","US","Negatief"
"63","4104576","NL","Positief"
"66","4104732","NL","Positief"
"16","4104829","NL","Positief"
"1726","4104849","UK","Positief"
"862","4105053","NL","Positief"
"1390","4105419","GE","Negatief"
"2119","4105631","US","Negatief"
"808","4106634","NL","Positief"
"1585","4106736","IT","Negatief"
"1991","4107179","US","Positief"
"1701","4107533","UK","Positief"
"65","4107662","NL","Positief"
"21","4107941","NL","Positief"
"1115","4108257","NL","Positief"
"849","4108456","NL","Positief"
"743","4108647","NL","Positief"
"1010","4108661","NL","Positief"
"1073","4108767","NL","Positief"
"1644","4108912","UK","Positief"
"980","4109017","NL","Positief"
"2058","4109338","US","Positief"
"338","4109875","NL","Positief"
"429","4109954","NL","Positief"
"2116","4110275","US","Positief"
"1356","4110295","GE","Positief"
"1396","4110330","GE","Positief"
"1014","4110548","NL","Positief"
"893","4110855","NL","Positief"
"1363","4111014","GE","Positief"
"723","4111135","NL","Positief"
"1444","4111647","GE","Positief"
"2152","4111652","US","Positief"
"714","4112162","NL","Positief"
"376","4112228","NL","Positief"
"1309","4112366","GE","Positief"
"103","4112586","NL","Positief"
"1740","4113319","ES","Negatief"
"1582","4113421","IT","Positief"
"2037","4113450","US","Positief"
"467","4113535","NL","Positief"
"585","4113781","NL","Positief"
"87","4114103","NL","Positief"
"411","4114236","NL","Positief"
"290","4114676","NL","Negatief"
"1721","4114778","UK","Positief"
"452","4114789","NL","Positief"
"748","4114958","NL","Positief"
"2006","4115108","US","Positief"
"926","4115192","NL","Positief"
"1081","4115256","NL","Positief"
"565","4115514","NL","Positief"
"34","4115756","NL","Negatief"
"1753","4116034","ES","Positief"
"138","4116047","NL","Positief"
"539","4116307","NL","Positief"
"1155","4116435","NL","Positief"
"10","4116486","NL","Positief"
"402","4116558","NL","Positief"
"1780","4116721","ES","Positief"
"2072","4116782","US","Positief"
"663","4116865","NL","Positief"
"1891","4116970","US","Negatief"
"2160","4117231","US","Positief"
"568","4117303","NL","Positief"
"1619","4117529","UK","Positief"
"978","4117576","NL","Positief"
"2026","4117662","US","Positief"
"1177","4117932","NL","Positief"
"944","4118074","NL","Positief"
"1443","4118413","GE","Positief"
"2051","4118727","US","Positief"
"1232","4118893","NL","Positief"
"523","4118984","NL","Positief"
"876","4119161","NL","Positief"
"1601","4119174","IT","Negatief"
"459","4119272","NL","Positief"
"447","4119432","NL","Positief"
"1900","4119521","US","Positief"
"354","4119922","NL","Positief"
"359","4120292","NL","Positief"
"641","4120980","NL","Negatief"
"1503","4120995","GE","Positief"
"2077","4121043","US","Negatief"
"1761","4121424","ES","Positief"
"730","4121782","NL","Positief"
"2052","4122061","US","Positief"
"2049","4122196","US","Negatief"
"185","4122212","NL","Positief"
"1132","4122682","NL","Positief"
"2183","4122691","US","Positief"
"35","4122901","NL","Positief"
"1645","4123273","UK","Positief"
"1404","4123770","GE","Positief"
"1316","4123903","GE","Positief"
"806","4123916","NL","Negatief"
"1214","4124332","NL","Positief"
"3","4124412","NL","Positief"
"401","4125177","NL","Positief"
"1584","4125214","IT","Negatief"
"1506","4125256","GE","Positief"
"936","4125317","NL","Positief"
"1008","4125444","NL","Positief"
"394","4125623","NL","Positief"
"253","4126365","NL","Positief"
"148","4126435","NL","Positief"
"1185","4126479","NL","Positief"
"2127","4126623","US","Positief"
"575","4126855","NL","Positief"
"2192","4127106","US","Positief"
"1439","4127228","GE","Negatief"
"921","4127803","NL","Positief"
"1357","4127960","GE","Negatief"
"2167","4127988","US","Positief"
"1490","4128033","GE","Positief"
"261","4128167","NL","Positief"
"1392","4128725","GE","Positief"
"1575","4129598","IT","Positief"
"1270","4129804","NL","Positief"
"1238","4130189","NL","Positief"
"1400","4130476","GE","Positief"
"829","4130971","NL","Positief"
"375","4131036","NL","Positief"
"1360","4131256","GE","Positief"
"1465","4131297","GE","Positief"
"1567","4131322","IT","Negatief"
"973","4131738","NL","Positief"
"1519","4131797","GE","Positief"
"1276","4132257","NL","Positief"
"1938","4132264","US","Positief"
"1935","4132307","US","Positief"
"971","4132652","NL","Negatief"
"1707","4132667","UK","Positief"
"2130","4132891","US","Negatief"
"1602","4133045","IT","Positief"
"1410","4133096","GE","Positief"
"386","4133328","NL","Positief"
"657","4133401","NL","Positief"
"2095","4133971","US","Positief"
"1021","4134260","NL","Positief"
"350","4134453","NL","Negatief"
"1153","4134518","NL","Positief"
"1418","4134643","GE","Positief"
"222","4135328","NL","Positief"
"574","4135404","NL","Positief"
"975","4135682","NL","Positief"
"211","4135820","NL","Positief"
"913","4135937","NL","Negatief"
"567","4135947","NL","Positief"
"64","4136122","NL","Positief"
"768","4136132","NL","Positief"
"1428","4136172","GE","Positief"
"965","4136465","NL","Positief"
"1032","4137663","NL","Negatief"
"1749","4138316","ES","Positief"
"858","4138414","NL","Negatief"
"2133","4139267","US","Negatief"
"252","4139482","NL","Positief"
"102","4139536","NL","Positief"
"1716","4139604","UK","Positief"
"122","4139767","NL","Negatief"
"757","4139824","NL","Positief"
"300","4140016","NL","Positief"
"765","4140280","NL","Positief"
"1639","4140654","UK","Positief"
"345","4140677","NL","Positief"
"1354","4140993","GE","Negatief"
"366","4141441","NL","Positief"
"989","4141457","NL","Positief"
"473","4141543","NL","Positief"
"514","4141609","NL","Positief"
"1029","4141926","NL","Positief"
"335","4142063","NL","Positief"
"220","4142229","NL","Positief"
"6","4142642","NL","Positief"
"1265","4143042","NL","Positief"
"249","4143355","NL","Positief"
"889","4143483","NL","Positief"
"154","4143740","NL","Positief"
"1711","4144623","UK","Positief"
"855","4145217","NL","Positief"
"1488","4145488","GE","Positief"
"2016","4145569","US","Positief"
"1899","4145582","US","Negatief"
"1695","4145619","UK","Positief"
"1426","4146148","GE","Negatief"
"852","4146250","NL","Positief"
"2143","4146740","US","Positief"
"229","4146808","NL","Positief"
"902","4147394","NL","Positief"
"557","4147398","NL","Negatief"
"693","4148072","NL","Positief"
"691","4148105","NL","Positief"
"2061","4148328","US","Positief"
"1864","4148524","BE","Positief"
"990","4148713","NL","Negatief"
"1463","4149148","GE","Positief"
"979","4149204","NL","Positief"
"671","4149377","NL","Positief"
"1452","4149499","GE","Negatief"
"734","4149669","NL","Positief"
"1902","4149699","US","Negatief"
"941","4149954","NL","Positief"
"1748","4150262","ES","Positief"
"31","4150313","NL","Negatief"
"1079","4150721","NL","Positief"
"106","4151276","NL","Positief"
"195","4151504","NL","Positief"
"476","4152578","NL","Negatief"
"667","4152620","NL","Positief"
"1179","4152681","NL","Positief"
"544","4152693","NL","Positief"
"1336","4153458","GE","Positief"
"1880","4154155","BE","Positief"
"1765","4154214","ES","Positief"
"2141","4154454","US","Positief"
"1451","4154683","GE","Positief"
"753","4154759","NL","Negatief"
"851","4156033","NL","Positief"
"358","4156082","NL","Positief"
"2036","4156301","US","Positief"
"1681","4156474","UK","Positief"
"1874","4156630","BE","Positief"
"652","4156755","NL","Positief"
"292","4156889","NL","Positief"
"2065","4156890","US","Positief"
"2111","4157030","US","Positief"
"1438","4157098","GE","Positief"
"418","4157136","NL","Positief"
"1234","4157399","NL","Positief"
"841","4157445","NL","Negatief"
"546","4157684","NL","Positief"
"1223","4157743","NL","Positief"
"741","4158140","NL","Positief"
"457","4158325","NL","Positief"
"955","4158799","NL","Positief"
"1950","4158880","US","Positief"
"1808","4159252","BE","Positief"
"56","4159349","NL","Positief"
"1464","4159613","GE","Positief"
"1896","4159714","US","Positief"
"912","4159825","NL","Positief"
"1736","4160219","ES","Negatief"
"1509","4160220","GE","Positief"
"365","4160460","NL","Positief"
"1617","4160546","UK","Positief"
"1597","4160591","IT","Positief"
"75","4160768","NL","Positief"
"1307","4160975","GE","Positief"
"150","4161320","NL","Positief"
"1364","4161427","GE","Positief"
"475","4162380","NL","Positief"
"1990","4162435","US","Positief"
"1741","4163499","ES","Negatief"
"234","4163987","NL","Positief"
"1651","4164714","UK","Positief"
"1635","4165517","UK","Positief"
"668","4165539","NL","Positief"
"1262","4165557","NL","Positief"
"1556","4166052","IT","Positief"
"1320","4166249","GE","Positief"
"1415","4166271","GE","Negatief"
"779","4167411","NL","Positief"
"1622","4167435","UK","Positief"
"182","4167914","NL","Positief"
"1045","4167925","NL","Positief"
"1033","4169146","NL","Positief"
"2191","4169670","US","Positief"
"1594","4170678","IT","Positief"
"1467","4171084","GE","Positief"
"1148","4171362","NL","Positief"
"1397","4171719","GE","Positief"
"301","4171774","NL","Positief"
"2142","4171934","US","Positief"
"1228","4172356","NL","Positief"
"419","4172428","NL","Positief"
"1607","4172809","IT","Negatief"
"286","4173575","NL","Positief"
"2139","4173635","US","Negatief"
"1213","4173870","NL","Negatief"
"1537","4175026","IT","Negatief"
"581","4175191","NL","Negatief"
"1167","4175374","NL","Positief"
"615","4175424","NL","Positief"
"1989","4175468","US","Negatief"
"2022","4175924","US","Negatief"
"1241","4176143","NL","Positief"
"1531","4176825","IT","Negatief"
"1163","4177066","NL","Positief"
"1160","4177252","NL","Positief"
"1091","4177330","NL","Positief"
"880","4177685","NL","Positief"
"2038","4177773","US","Positief"
"1688","4177970","UK","Positief"
"155","4178252","NL","Positief"
"2147","4178468","US","Positief"
"609","4178507","NL","Positief"
"1683","4178707","UK","Positief"
"400","4178771","NL","Positief"
"974","4178937","NL","Negatief"
"2179","4179448","US","Positief"
"2094","4179577","US","Negatief"
"2136","4180152","US","Positief"
"1227","4180336","NL","Positief"
"1041","4180533","NL","Positief"
"910","4180570","NL","Positief"
"1431","4180964","GE","Positief"
"2107","4181134","US","Positief"
"1606","4181148","IT","Positief"
"1290","4181190","GE","Positief"
"749","4181522","NL","Positief"
"1472","4181802","GE","Positief"
"1671","4182008","UK","Positief"
"1694","4182199","UK","Positief"
"634","4182354","NL","Positief"
"343","4182393","NL","Negatief"
"1025","4182505","NL","Positief"
"428","4182513","NL","Positief"
"1123","4182603","NL","Negatief"
"601","4183015","NL","Positief"
"1557","4183020","IT","Positief"
"1174","4183532","NL","Positief"
"1863","4183580","BE","Positief"
"1407","4183712","GE","Positief"
"764","4183989","NL","Positief"
"927","4184206","NL","Positief"
"1579","4184268","IT","Positief"
"1865","4184277","BE","Positief"
"675","4184306","NL","Positief"
"1116","4184373","NL","Positief"
"882","4184569","NL","Positief"
"590","4184713","NL","Positief"
"809","4185412","NL","Positief"
"541","4185658","NL","Positief"
"1691","4185947","UK","Positief"
"1665","4186016","UK","Positief"
"84","4186162","NL","Positief"
"2182","4186681","US","Positief"
"1219","4186839","NL","Positief"
"1954","4186923","US","Positief"
"1157","4187193","NL","Negatief"
"959","4187227","NL","Positief"
"1771","4187284","ES","Positief"
"1528","4187453","GE","Positief"
"1829","4187573","BE","Negatief"
"556","4187735","NL","Negatief"
"614","4187737","NL","Positief"
"1713","4187843","UK","Positief"
"316","4187907","NL","Positief"
"1504","4187933","GE","Positief"
"752","4188044","NL","Positief"
"1175","4188197","NL","Positief"
"1871","4188613","BE","Positief"
"596","4188646","NL","Positief"
"1985","4188659","US","Negatief"
"803","4188894","NL","Positief"
"38","4189543","NL","Positief"
"1109","4189624","NL","Positief"
"198","4189913","NL","Positief"
"508","4190471","NL","Positief"
"1976","4191292","US","Positief"
"331","4191321","NL","Positief"
"455","4191419","NL","Positief"
"1804","4191480","BE","Positief"
"1215","4191613","NL","Positief"
"450","4191765","NL","Positief"
"95","4191843","NL","Positief"
"289","4191940","NL","Positief"
"1446","4192196","GE","Positief"
"1105","4192253","NL","Positief"
"1547","4192275","IT","Positief"
"1658","4192287","UK","Positief"
"237","4192619","NL","Positief"
"200","4192696","NL","Positief"
"1814","4192862","BE","Positief"
"105","4193197","NL","Positief"
"107","4193551","NL","Positief"
"1583","4194091","IT","Negatief"
"2124","4194189","US","Negatief"
"869","4194286","NL","Positief"
"2156","4194605","US","Positief"
"1796","4194942","BE","Negatief"
"629","4194984","NL","Positief"
"1599","4194988","IT","Positief"
"747","4195018","NL","Negatief"
"188","4195202","NL","Positief"
"2181","4195561","US","Negatief"
"221","4195762","NL","Positief"
"923","4196270","NL","Positief"
"1852","4196684","BE","Positief"
"1817","4197478","BE","Positief"
"1333","4197738","GE","Positief"
"1204","4197820","NL","Positief"
"595","4197823","NL","Positief"
"1097","4197969","NL","Positief"
"1826","4198325","BE","Positief"
"519","4198409","NL","Positief"
"1657","4198467","UK","Positief"
"1198","4198610","NL","Positief"
"413","4198980","NL","Positief"
"844","4199010","NL","Negatief"
"711","4199087","NL","Positief"
"1351","4199093","GE","Positief"
"587","4199155","NL","Positief"
"569","4199291","NL","Positief"
"579","4199604","NL","Positief"
"112","4199652","NL","Positief"
"1495","4199761","GE","Positief"
"269","4199862","NL","Positief"
"1188","4199925","NL","Positief"
"241","4200223","NL","Positief"
"381","4200404","NL","Positief"
"1554","4200614","IT","Negatief"
"437","4200669","NL","Positief"
"441","4200971","NL","Positief"
"1945","4201049","US","Negatief"
"854","4201503","NL","Positief"
"607","4201631","NL","Positief"
"1742","4201643","ES","Positief"
"1135","4201745","NL","Negatief"
"931","4201847","NL","Positief"
"977","4201867","NL","Positief"
"1445","4201957","GE","Positief"
"275","4202793","NL","Negatief"
"314","4202843","NL","Positief"
