"","Studentnummer","Geslacht","Vooropleiding","Gemiddeld_cijfer"
"271","4384209","Vrouw","hbo",7.28234833797612
"527","4485308","Vrouw","vwo",6.13763384863002
"266","4325839","Vrouw","hbo",5.14200085465326
"456","4461762","Vrouw","vwo",6.73196932265546
"335","4104768","Vrouw","vwo",7.51584947657704
"191","4155084","Vrouw","hbo",6.47432686673994
"225","4299644","Vrouw","hbo",7.14683272809642
"36","4444538","Man","hbo",4.78144180069014
"284","4045669","Vrouw","hbo",7.36535666419853
"435","4030889","Vrouw","vwo",8.14321094225036
"288","4353185","Vrouw","hbo",5.51105091532316
"206","4214669","Vrouw","hbo",6.56285614374161
"59","4060029","Man","vwo",8.85544950988335
"262","4451106","Vrouw","hbo",6.50588636662636
"66","4030657","Man","vwo",7.07490550673441
"361","4453284","Vrouw","vwo",6.0994539638105
"161","4067361","Man","overig",6.36727010441505
"72","4102627","Man","vwo",7.44238742000164
"324","4320582","Vrouw","vwo",9.20361046750456
"10","4342899","Man","hbo",7.24382596895619
"588","4315331","Vrouw","overig",6.48962832962036
"423","4323120","Vrouw","vwo",8.44825059530873
"589","4361909","Vrouw","overig",7.14219763063927
"156","4012211","Man","overig",6.77835521729821
"535","4061243","Vrouw","vwo",7.09733834587649
"83","4152389","Man","vwo",6.7956632952216
"509","4468074","Vrouw","vwo",8.47443759629564
"246","4116905","Vrouw","hbo",6.83222973834396
"426","4286896","Vrouw","vwo",6.36637386947879
"173","4429781","Man","overig",8.40659548970662
"193","4312986","Vrouw","hbo",6.63118981436193
"231","4286540","Vrouw","hbo",6.53829707174539
"450","4365924","Vrouw","vwo",6.73490458950753
"204","4406318","Vrouw","hbo",6.39366970877868
"247","4071321","Vrouw","hbo",8.38709809651828
"596","4474848","Vrouw","overig",7.40681970608308
"548","4292092","Vrouw","overig",6.6508720953604
"471","4064593","Vrouw","vwo",7.86993253809256
"140","4212540","Man","vwo",6.83899340381564
"40","4030927","Man","hbo",7.37904191100748
"405","4127286","Vrouw","vwo",7.01944927534534
"328","4414709","Vrouw","vwo",6.62619083691221
"393","4024480","Vrouw","vwo",9.25031546468388
"337","4138702","Vrouw","vwo",8.25382663630385
"250","4322741","Vrouw","hbo",6.47345755092252
"549","4344291","Vrouw","overig",5.79768411711567
"89","4153670","Man","vwo",7.77821255681878
"321","4388909","Vrouw","vwo",9.75206344477497
"614","4472945","Vrouw","overig",7.41774092677819
"417","4281871","Vrouw","vwo",7.19167769835649
"187","4245097","Man","overig",6.4244536815213
"604","4168947","Vrouw","overig",6.43155097607692
"581","4316867","Vrouw","overig",4.58895653889269
"136","4149472","Man","vwo",4.19332604592845
"6","4494467","Man","hbo",6.41473892215293
"233","4177130","Vrouw","hbo",8.69220701161546
"571","4107780","Vrouw","overig",7.95130128150681
"608","4382685","Vrouw","overig",7.42771880814336
"169","4308601","Man","overig",5.8642648186193
"316","4258835","Vrouw","vwo",7.72030584942315
"498","4279253","Vrouw","vwo",8.05928584434279
"158","4057823","Man","overig",6.64504065474494
"429","4319122","Vrouw","vwo",7.35352524982115
"536","4349278","Vrouw","vwo",6.53086615280499
"313","4361017","Vrouw","vwo",8.24571380406079
"43","4413589","Man","hbo",6.82908540116547
"411","4354041","Vrouw","vwo",6.77144757652248
"294","4240178","Vrouw","vwo",6.95121790123795
"399","4258511","Vrouw","vwo",7.08458613465304
"78","4495132","Man","vwo",6.52207080471218
"339","4430461","Vrouw","vwo",7.55500374557096
"79","4037740","Man","vwo",8.28856488583833
"117","4490014","Man","vwo",7.47346098359714
"219","4236359","Vrouw","hbo",6.86006032236228
"299","4193072","Vrouw","vwo",6.55330019504335
"128","4114532","Man","vwo",7.01822250282644
"16","4148451","Man","hbo",5.52155185158054
"359","4048766","Vrouw","vwo",8.58061710689861
"309","4057981","Vrouw","vwo",8.9540374665165
"532","4291410","Vrouw","vwo",8.52294668396681
"71","4237730","Man","vwo",7.98003799231003
"572","4366542","Vrouw","overig",7.65351434101759
"162","4157976","Man","overig",6.22804135803869
"606","4109126","Vrouw","overig",7.77456959846799
"155","4220671","Man","overig",5.89740367481999
"543","4405096","Vrouw","overig",9.08089390836698
"150","4340568","Man","vwo",5.71234942001194
"13","4249731","Man","hbo",4.93199622912435
"90","4004986","Man","vwo",6.83232672776573
"401","4471967","Vrouw","vwo",7.35939342375615
"369","4135797","Vrouw","vwo",7.333125272564
"11","4347517","Man","hbo",6.16503641341701
"398","4052640","Vrouw","vwo",6.56914642631802
"67","4366853","Man","vwo",7.06562674275094
"238","4005502","Vrouw","hbo",7.5174201441298
"236","4216794","Vrouw","hbo",7.72187810616312
"151","4288909","Man","overig",6.95077888559387
"602","4424604","Vrouw","overig",7.09432082370055
"595","4115548","Vrouw","overig",7.83305002993816
"175","4129610","Man","overig",6.86124680242647
"386","4094330","Vrouw","vwo",7.19381239901269
"18","4311929","Man","hbo",5.48785333437147
"122","4065751","Man","vwo",8.17777130745132
"599","4321345","Vrouw","overig",8.88535662126586
"120","4411536","Man","vwo",6.06505412875075
"118","4365318","Man","vwo",8.12988813093981
"340","4457165","Vrouw","vwo",6.40252764064534
"459","4095695","Vrouw","vwo",7.01633478141118
"143","4216860","Man","vwo",7.11944617652012
"496","4096784","Vrouw","vwo",8.87084879138618
"501","4134335","Vrouw","vwo",7.68989510110322
"326","4269371","Vrouw","vwo",6.47027390441454
"451","4181373","Vrouw","vwo",7.38070038724449
"65","4486476","Man","vwo",4.43865402505899
"27","4164097","Man","hbo",6.40731309769728
"593","4462489","Vrouw","overig",7.49040599697828
"343","4472114","Vrouw","vwo",5.48774176827108
"540","4268754","Vrouw","vwo",6.38035664683063
"446","4367442","Vrouw","vwo",7.06769555260476
"84","4365970","Man","vwo",6.74972037576429
"448","4164313","Vrouw","vwo",7.27831459572825
"518","4196285","Vrouw","vwo",7.43890709820022
"146","4095189","Man","vwo",6.55777953978824
"422","4297614","Vrouw","vwo",6.45786263478554
"237","4349818","Vrouw","hbo",7.9362687620034
"529","4133075","Vrouw","vwo",6.5795117422846
"381","4447108","Vrouw","vwo",6.1175310716134
"598","4293572","Vrouw","overig",6.78932943503209
"165","4282488","Man","overig",7.0066193342142
"391","4249381","Vrouw","vwo",6.73903487954904
"241","4462037","Vrouw","hbo",7.62948145810367
"96","4041890","Man","vwo",7.15275032714537
"522","4370849","Vrouw","vwo",6.21880655255796
"203","4006897","Vrouw","hbo",6.01466080909698
"254","4368615","Vrouw","hbo",7.8013048023202
"86","4311893","Man","vwo",6.80027950812493
"477","4012805","Vrouw","vwo",8.20585484397637
"37","4492777","Man","hbo",6.95381679150409
"195","4333754","Vrouw","hbo",6.93658332134456
"515","4010297","Vrouw","vwo",6.98820453992648
"123","4165154","Man","vwo",7.44162022529879
"363","4239052","Vrouw","vwo",7.44638148182447
"503","4188815","Vrouw","vwo",8.09172460509004
"148","4437918","Man","vwo",5.81998740324681
"590","4269949","Vrouw","overig",7.54492341671265
"431","4160656","Vrouw","vwo",7.5991948153815
"52","4139589","Man","vwo",5.86859722090939
"192","4354984","Vrouw","hbo",7.30601174852113
"85","4421198","Man","vwo",8.47414476272803
"600","4160831","Vrouw","overig",7.06017389575769
"612","4083256","Vrouw","overig",5.47486609059989
"5","4295845","Man","hbo",7.67002419266112
"216","4312997","Vrouw","hbo",6.84106590973829
"560","4358246","Vrouw","overig",6.55064386172432
"569","4498891","Vrouw","overig",8.29744204280521
"607","4048279","Vrouw","overig",5.95476011201701
"482","4130291","Vrouw","vwo",7.49656423546082
"323","4448374","Vrouw","vwo",6.3203036316223
"304","4382963","Vrouw","vwo",7.90338801248379
"542","4112841","Vrouw","overig",5.58276593772242
"235","4443242","Vrouw","hbo",5.07006233036932
"566","4347882","Vrouw","overig",8.64569584076136
"278","4315626","Vrouw","hbo",6.13208356177767
"409","4264647","Vrouw","vwo",8.66819007742547
"517","4288732","Vrouw","vwo",8.73527187786736
"55","4466735","Man","vwo",7.42799600751447
"29","4383280","Man","hbo",6.60378322379662
"281","4416699","Vrouw","hbo",6.37096863802056
"618","4370226","Vrouw","overig",7.58619685165391
"534","4064972","Vrouw","vwo",8.05838789198152
"82","4463517","Man","vwo",6.73283082886978
"186","4258673","Man","overig",7.19789059887929
"144","4457504","Man","vwo",7.21052881539528
"455","4062361","Vrouw","vwo",7.95664411993471
"164","4195186","Man","overig",6.80745066364019
"222","4230486","Vrouw","hbo",7.16125556272743
"334","4428953","Vrouw","vwo",7.88927672077013
"229","4336990","Vrouw","hbo",6.40971725818604
"196","4158329","Vrouw","hbo",5.54675546882361
"81","4107301","Man","vwo",8.43675821086468
"223","4471374","Vrouw","hbo",5.38164861669414
"384","4084259","Vrouw","vwo",6.39634243880893
"259","4367742","Vrouw","hbo",7.09950650153727
"131","4229792","Man","vwo",5.52394969918136
"350","4035462","Vrouw","vwo",7.60146673976471
"47","4067286","Man","hbo",7.50757977690801
"546","4498960","Vrouw","overig",5.03904755583043
"580","4473365","Vrouw","overig",8.07356390179351
"526","4320888","Vrouw","vwo",7.71707021007276
"476","4414186","Vrouw","vwo",5.56851218232149
"109","4032403","Man","vwo",7.68092307183976
"389","4371823","Vrouw","vwo",7.49763362591688
"134","4159203","Man","vwo",6.89565359978803
"539","4028587","Vrouw","vwo",7.39621737861886
"227","4062610","Vrouw","hbo",7.88603927044735
"487","4252706","Vrouw","vwo",7.4429300364911
"252","4461361","Vrouw","hbo",7.48879164571094
"21","4237359","Man","hbo",5.81521088482488
"483","4122391","Vrouw","vwo",7.96561035283678
"597","4289872","Vrouw","overig",7.83930734251053
"506","4259744","Vrouw","vwo",6.60431438443961
"303","4447906","Vrouw","vwo",7.32918743257565
"127","4459797","Man","vwo",6.91524609154173
"613","4267829","Vrouw","overig",8.119284781933
"484","4044830","Vrouw","vwo",8.44059109224811
"428","4303626","Vrouw","vwo",6.28362968057923
"49","4233640","Man","hbo",7.15490209827293
"325","4324416","Vrouw","vwo",6.86148021780439
"64","4303700","Man","vwo",5.89356588276191
"373","4265848","Vrouw","vwo",6.89165303081683
"283","4497828","Vrouw","hbo",7.6717454904474
"371","4407905","Vrouw","vwo",7.18238891975371
"244","4193205","Vrouw","hbo",7.74589177779358
"437","4005241","Vrouw","vwo",6.12063462674728
"461","4004442","Vrouw","vwo",7.27564935396584
"32","4046300","Man","hbo",5.9523135185605
"56","4256448","Man","vwo",6.16670016790634
"400","4306409","Vrouw","vwo",7.79020666855371
"87","4364438","Man","vwo",7.19763514422523
"174","4218216","Man","overig",8.15777896011788
"481","4400250","Vrouw","vwo",8.82126864304235
"242","4250974","Vrouw","hbo",7.56265658435809
"449","4169650","Vrouw","vwo",7.41325408438459
"200","4378466","Vrouw","hbo",7.35798177784278
"570","4366773","Vrouw","overig",6.61153958690102
"261","4421552","Vrouw","hbo",7.57279407048635
"499","4046376","Vrouw","vwo",6.92381034554186
"138","4053789","Man","vwo",6.94654817174908
"23","4425000","Man","hbo",6.28980048716664
"166","4109285","Man","overig",6.94545397537264
"171","4047926","Man","overig",6.01393716667713
"375","4045126","Vrouw","vwo",8.62836671199718
"99","4223095","Man","vwo",7.00102679523038
"267","4395824","Vrouw","hbo",6.55113909003513
"154","4337723","Man","overig",7.77723712429738
"327","4346914","Vrouw","vwo",6.052768681238
"2","4106389","Man","hbo",7.19084091766159
"592","4433817","Vrouw","overig",7.02261916475795
"603","4107005","Vrouw","overig",8.04630489128897
"547","4187078","Vrouw","overig",6.7705383196996
"98","4310136","Man","vwo",7.96320261555815
"301","4367484","Vrouw","vwo",6.45149019149118
"475","4327765","Vrouw","vwo",6.85857671135984
"8","4382553","Man","hbo",7.21125454120371
"362","4367989","Vrouw","vwo",6.86230503362601
"537","4402316","Vrouw","vwo",8.07000881141061
"54","4137675","Man","vwo",6.55278670051594
"433","4082318","Vrouw","vwo",7.85278731357432
"463","4087174","Vrouw","vwo",7.36751839112109
"519","4481053","Vrouw","vwo",7.22694761357826
"453","4335818","Vrouw","vwo",6.20379786704802
"157","4256928","Man","overig",7.5660949625959
"383","4384790","Vrouw","vwo",6.32768649052425
"554","4066351","Vrouw","overig",8.24484016061832
"407","4208176","Vrouw","vwo",7.39532493553194
"100","4261202","Man","vwo",7.20369654608622
"479","4481778","Vrouw","vwo",7.68634785492597
"152","4382372","Man","overig",8.81096073048314
"468","4126786","Vrouw","vwo",8.36540057402709
"264","4145715","Vrouw","hbo",6.57388652321659
"111","4052930","Man","vwo",6.33366538492765
"465","4176259","Vrouw","vwo",8.20660038824601
"352","4380578","Vrouw","vwo",7.93537072349361
"444","4337543","Vrouw","vwo",9.45639774076182
"317","4134303","Vrouw","vwo",7.08162073773902
"511","4133592","Vrouw","vwo",8.2464299206338
"276","4418575","Vrouw","hbo",7.58634174948803
"243","4445258","Vrouw","hbo",6.51859279729576
"153","4187551","Man","overig",6.90048993429173
"142","4269708","Man","vwo",7.47256611431258
"19","4279105","Man","hbo",7.69750991744129
"557","4394026","Vrouw","overig",7.34494918465514
"441","4408331","Vrouw","vwo",7.23033747269476
"101","4083910","Man","vwo",8.30848487568464
"504","4214299","Vrouw","vwo",9.09239787563701
"619","4316338","Vrouw","overig",5.56147686198574
"500","4492380","Vrouw","vwo",6.31659058608481
"113","4282277","Man","vwo",6.99005945596401
"538","4053899","Vrouw","vwo",7.94838515883954
"199","4289467","Vrouw","hbo",6.75812305582801
"92","4172519","Man","vwo",6.17250534447517
"270","4449884","Vrouw","hbo",6.48873086808817
"35","4124048","Man","hbo",7.28523068390919
"387","4355227","Vrouw","vwo",6.58412904634293
"354","4399690","Vrouw","vwo",5.39411713538266
"502","4051673","Vrouw","vwo",7.28204928625175
"253","4408884","Vrouw","hbo",6.45740048922422
"51","4283487","Man","vwo",6.89100882748725
"307","4060756","Vrouw","vwo",7.64402108749618
"73","4299945","Man","vwo",7.22175385552378
"126","4006599","Man","vwo",6.82134173802433
"582","4141651","Vrouw","overig",6.30268316728995
"406","4391691","Vrouw","vwo",6.87148226203642
"473","4041686","Vrouw","vwo",6.33934964139591
"610","4327963","Vrouw","overig",8.62881078576221
"205","4290051","Vrouw","hbo",7.06333210596633
"490","4352221","Vrouw","vwo",8.31213161499515
"147","4327130","Man","vwo",5.85079871658092
"457","4031204","Vrouw","vwo",8.57278584148814
"488","4420827","Vrouw","vwo",8.62591430830883
"472","4142618","Vrouw","vwo",6.18036452769496
"573","4150751","Vrouw","overig",7.31917823416888
"322","4475078","Vrouw","vwo",7.48817357373771
"605","4368430","Vrouw","overig",7.4014624052689
"345","4399836","Vrouw","vwo",7.84985605671088
"505","4010842","Vrouw","vwo",8.33671688493632
"129","4246347","Man","vwo",8.71224179372707
"212","4360565","Vrouw","hbo",5.9427496710465
"234","4403508","Vrouw","hbo",7.8284093958643
"545","4479317","Vrouw","overig",6.44548625121876
"583","4164256","Vrouw","overig",8.13723531860462
"26","4491817","Man","hbo",7.52684753028499
"198","4014149","Vrouw","hbo",5.07064028773608
"159","4405989","Man","overig",7.78526260146804
"103","4111460","Man","vwo",6.34780348105392
"394","4484330","Vrouw","vwo",8.88194322960051
"290","4091420","Vrouw","hbo",5.17088325945064
"567","4322378","Vrouw","overig",7.79730928742892
"310","4118273","Vrouw","vwo",5.33709128679103
"20","4380590","Man","hbo",7.24524564142017
"211","4385509","Vrouw","hbo",6.39527713722529
"218","4306741","Vrouw","hbo",8.3514436318915
"356","4196664","Vrouw","vwo",7.07550789450421
"46","4295671","Man","hbo",6.39675386173825
"555","4336087","Vrouw","overig",7.78983068874561
"292","4463872","Vrouw","vwo",6.15872087250291
"60","4389438","Man","vwo",8.54963736425491
"584","4102852","Vrouw","overig",6.45466366519901
"149","4092247","Man","vwo",6.07606721220962
"480","4353217","Vrouw","vwo",7.71243011445702
"88","4216466","Man","vwo",7.48118802872372
"33","4492080","Man","hbo",5.58475856429983
"617","4373511","Vrouw","overig",5.92785783338835
"514","4145210","Vrouw","vwo",6.19879777101729
"507","4051825","Vrouw","vwo",7.43962266496932
"320","4441017","Vrouw","vwo",7.35566354820131
"42","4058889","Man","hbo",8.2029616611284
"112","4407125","Man","vwo",8.72289757854462
"210","4104208","Vrouw","hbo",7.40650037352419
"248","4152835","Vrouw","hbo",7.65722337664623
"474","4137595","Vrouw","vwo",7.57373647191221
"467","4366004","Vrouw","vwo",8.29256162675209
"524","4018913","Vrouw","vwo",8.32162198057182
"108","4022095","Man","vwo",5.9990708083316
"390","4221307","Vrouw","vwo",6.07990327466637
"380","4148408","Vrouw","vwo",5.86359281317617
"194","4405582","Vrouw","hbo",5.51901546370229
"312","4160573","Vrouw","vwo",7.31441865794305
"315","4454628","Vrouw","vwo",4.56024575661286
"611","4462877","Vrouw","overig",7.90489806899413
"160","4352980","Man","overig",7.6940473785994
"34","4036999","Man","hbo",6.10849358470118
"541","4351334","Vrouw","overig",6.49513822276209
"531","4164912","Vrouw","vwo",7.34002033444342
"404","4405574","Vrouw","vwo",7.68765089941351
"308","4351029","Vrouw","vwo",7.21062147101646
"268","4185492","Vrouw","hbo",7.00658922911839
"230","4102263","Vrouw","hbo",5.90448382743755
"124","4067473","Man","vwo",6.91265637588133
"295","4424943","Vrouw","vwo",7.62288508122856
"553","4145652","Vrouw","overig",8.3339752513847
"413","4060167","Vrouw","vwo",8.23589307240067
"102","4061090","Man","vwo",7.19374602105277
"513","4467430","Vrouw","vwo",6.67463730929629
"172","4181413","Man","overig",7.66748541348963
"240","4445713","Vrouw","hbo",7.96451051848471
"562","4146359","Vrouw","overig",7.0341190400115
"272","4433345","Vrouw","hbo",7.12251408854264
"263","4256507","Vrouw","hbo",6.15603241441501
