"","x"
"570",44239
"571",24232
"572",33137
"573",22308
"574",68640
"575",22568
"576",36062
"577",45747
"578",29445
"579",37609
"580",41860
"581",29016
"582",38272
"583",44993
"584",40872
"585",68835
"586",78091
"587",41379
"588",36530
"589",37206
"590",51493
"591",54496
"592",36348
"593",37765
"594",60424
"595",28613
"596",40742
"597",31551
"598",31057
"599",38883
"600",49725
"601",51311
"602",23673
"603",47125
"604",26741
"605",37622
"606",37193
"607",28665
"608",38506
"609",29822
"610",31616
"611",47580
"612",58747
"613",36478
"614",38948
"615",34697
"616",38532
"617",28171
"618",27781
"619",23816
"620",27001
"621",51311
"622",48971
"623",44343
"624",24518
"625",29354
"626",58318
"627",31863
"628",41093
"629",36868
"630",37908
"631",21346
"632",50141
"633",38909
"634",59176
"635",53027
"636",31733
"637",34216
"638",25012
"639",24258
"640",32539
"641",33137
"642",44993
"643",69524
"644",23764
"645",38441
"646",36192
"647",27508
"648",37986
"649",28301
"650",44733
"651",21190
"652",42419
"653",50999
"654",52702
"655",58227
"656",61971
"657",74958
"658",44122
"659",33826
"660",48503
"661",37635
"662",77246
"663",35295
"664",35022
"665",37271
"666",46800
"667",35087
"668",55809
"669",26364
"670",22828
"671",34697
"672",34476
"673",22802
"674",34944
"675",30238
"676",36816
"677",41392
"678",36855
"679",31434
"680",32214
"681",46748
"682",43303
"683",28561
"684",44616
"685",35139
"686",23920
"687",60775
"688",23400
"689",52533
"690",41470
"691",26949
"692",58539
"693",38051
"694",26845
"695",29640
"696",31486
"697",28977
"698",35165
"699",34528
"700",43797
"701",37232
"702",38844
"703",38792
"704",21502
"705",41171
"706",30368
"707",37765
"708",30212
"709",26013
"710",36751
"711",39676
"712",26780
"713",57954
"714",25246
"715",43251
"716",38038
"717",31876
"718",36660
"719",63076
"720",41704
"721",35854
"722",26650
"723",43004
"724",64103
"725",32071
"726",62751
"727",51324
"728",38103
"729",38454
"730",42094
"731",28223
"732",47996
"733",24973
"734",33280
"735",37297
"736",30732
"737",23907
"738",53586
"739",65819
"740",32721
"741",46449
"742",36790
"743",29133
"744",56940
"745",38844
"746",69368
"747",27937
"748",52494
"749",44889
"750",52052
"751",26208
"752",63622
"753",42406
"754",69459
"755",47593
"756",56758
"757",51857
"758",25506
"759",29367
"760",41067
"761",37037
"762",32110
"763",44681
"764",38194
"765",40170
"766",32175
"767",21879
"768",85007
"769",34970
"770",23244
"771",33553
"772",27560
"773",72774
"774",33345
"775",67184
"776",38103
"777",46189
"778",72163
"779",58409
"780",52689
"781",57863
"782",30745
"783",39598
"784",53482
"785",35516
"786",43680
"787",45929
"788",40339
"789",24505
"790",45981
"791",48880
"792",21528
"793",40794
"794",22464
"795",38441
"796",50310
"797",22724
"798",40924
"799",42328
"800",24726
"801",74438
"802",38688
"803",62062
"804",56160
"805",44785
"806",31187
"807",36127
"808",37609
"809",29666
"810",37401
"811",31369
"812",68471
"813",31837
"814",43732
"815",51116
"816",47021
"817",49777
"818",44291
"819",56823
"820",47723
"821",31044
"822",33046
"823",37349
"824",41366
"825",49959
"826",71955
"827",46410
"828",32955
"829",70291
"830",36231
"831",36192
"832",61308
"833",70577
"834",45760
"835",33176
"836",31577
"837",50440
"838",41834
"839",42237
"840",27482
"841",34619
"842",48438
"843",41600
"844",30212
"845",37960
"846",44018
"847",29627
"848",54002
"849",47229
"850",29042
"851",35867
"852",42263
"853",50661
"854",40716
"855",66898
"856",34112
"857",36374
"858",34177
"859",36829
"860",69459
"861",51129
"862",41184
"863",25012
"864",39273
"865",31993
"866",29003
"867",35191
"868",30082
"869",33098
"870",41314
"871",28106
"872",28977
"873",44616
"874",53898
"875",44629
"876",44161
"877",34502
"878",40625
"879",39117
"880",31317
"881",40131
"882",37648
"883",32773
"884",50895
"885",32812
"886",46072
"887",29432
"888",26273
"889",33540
"890",21697
"891",31096
"892",50531
"893",46501
"894",59059
"895",54730
"896",28795
"897",28392
"898",26728
"899",21086
"900",43199
"901",41132
"902",57655
"903",40261
"904",34112
"905",38272
"906",21658
"907",51662
"908",54301
"909",47346
"910",45292
"911",38701
"912",36894
"913",34060
"914",36283
"915",46358
"916",48607
"917",29731
"918",77415
"919",70889
"920",39624
"921",46488
"922",36712
"923",25350
"924",60606
"925",37869
"926",75673
"927",43901
"928",41184
"929",56667
"930",46163
"931",21567
"932",44213
"933",51935
"934",34502
"935",47567
"936",40625
"937",42016
"938",46592
"939",34099
"940",64246
"941",51207
"942",39000
"943",26702
"944",64987
"945",46163
"946",46332
"947",49049
"948",42328
"949",42731
"950",28652
"951",40261
"952",76791
"953",26338
"954",32084
"955",24362
"956",26273
"957",34957
"958",64207
"959",30056
"960",71890
"961",59007
"962",57876
"963",31733
"964",29991
"965",47359
"966",57694
"967",26663
"968",58526
"969",44148
"970",32227
"971",35568
"972",43693
"973",30381
"974",46124
"975",60749
"976",32370
"977",57252
"978",64233
"979",58981
"980",64012
"981",36036
"982",31733
"983",34697
"984",29133
"985",27469
"986",47086
"987",44629
"988",48256
"989",33332
"990",45916
"991",61295
"992",42302
"993",29861
"994",62972
"995",44473
"996",60502
"997",64766
"998",34424
"999",47502
"1000",56303
"1001",40963
"1002",31200
"1003",38558
"1004",37427
"1005",47034
"1006",47151
"1007",40066
"1008",43472
"1009",35204
"1010",26975
"1011",38285
"1012",45747
"1013",45968
"1014",39884
"1015",62569
"1016",38909
"1017",44382
"1018",38545
"1019",38012
"1020",28938
"1021",38363
"1022",29796
"1023",32721
"1024",30251
"1025",38116
"1026",49387
"1027",22464
"1028",25220
"1029",24414
"1030",42250
"1031",21892
"1032",40937
"1033",51961
"1034",43771
"1035",45136
"1036",23569
"1037",44434
"1038",49413
"1039",60411
"1040",24050
"1041",47359
"1042",41353
"1043",21463
"1044",26078
"1045",36010
"1046",46787
"1047",22685
"1048",47359
"1049",48945
"1050",31993
"1051",31109
"1052",23790
"1053",35022
"1054",55380
"1055",51909
"1056",36842
"1057",49088
"1058",43069
"1059",34814
"1060",43329
"1061",44980
"1062",22074
"1063",41301
"1064",40482
"1065",30095
"1066",30888
"1067",65377
"1068",37882
"1069",36413
"1070",49673
"1071",34840
"1072",32539
"1073",31551
"1074",21632
"1075",44213
"1076",28990
"1077",38779
"1078",26637
"1079",50804
"1080",64948
"1081",57512
"1082",26754
"1083",27625
"1084",35139
"1085",29276
"1086",44798
"1087",51363
"1088",44148
"1089",28327
"1090",37076
"1091",24362
"1092",35256
"1093",33423
"1094",34034
"1095",74295
"1096",34255
"1097",26143
"1098",27664
"1099",34619
"1100",40664
"1101",42705
"1102",26520
"1103",69745
"1104",33150
"1105",52325
"1106",42770
"1107",36894
"1108",74022
"1109",40664
"1110",60723
"1111",22828
"1112",71695
"1113",71968
"1114",32604
"1115",41795
"1116",51675
"1117",37843
"1118",41704
"1119",52611
"1120",50557
"1121",37557
"1122",40976
"1123",38415
"1124",25402
"1125",48412
"1126",67977
"1127",29120
"1128",38376
"1129",55471
"1130",22932
"1131",43485
"1132",30134
"1133",43251
"1134",35646
"1135",34918
"1136",45786
"1137",43706
"1138",36582
"1139",39299
"1140",24492
"1141",32318
"1142",43264
"1143",59319
"1144",69043
"1145",27716
"1146",28444
"1147",43498
"1148",26429
"1149",30316
"1150",38805
"1151",25909
"1152",39546
"1153",48061
"1154",39949
"1155",41067
"1156",21489
"1157",64623
"1158",41366
"1159",48529
"1160",46579
"1161",50960
"1162",25337
"1163",42523
"1164",39507
"1165",43017
"1166",60398
"1167",49335
"1168",43316
"1169",35230
"1170",42744
"1171",32578
"1172",60671
"1173",51727
"1174",66352
"1175",31525
"1176",40391
"1177",47320
"1178",65455
"1179",21281
"1180",39377
"1181",46358
"1182",47099
"1183",52611
"1184",62855
"1185",32058
"1186",32006
"1187",35204
"1188",31096
"1189",48919
"1190",43056
"1191",34463
"1192",32578
"1193",45552
"1194",62244
"1195",50882
"1196",43472
"1197",45760
"1198",43693
"1199",30628
"1200",39611
"1201",30693
"1202",24206
"1203",32604
"1204",45617
"1205",40924
"1206",62192
"1207",34567
"1208",65988
"1209",41067
"1210",32968
"1211",33891
"1212",70148
"1213",39221
"1214",51805
"1215",27378
"1216",48282
"1217",63869
"1218",34892
"1219",75361
"1220",45240
"1221",26260
"1222",23582
"1223",38246
"1224",46917
"1225",43004
"1226",42172
"1227",21593
"1228",46813
"1229",22256
"1230",26819
"1231",76115
"1232",33592
"1233",35724
"1234",27222
"1235",39533
"1236",40287
"1237",29614
"1238",35516
"1239",34840
"1240",43238
"1241",39962
"1242",49413
"1243",32552
"1244",25922
"1245",49127
"1246",44330
"1247",51064
"1248",73424
"1249",55757
"1250",33605
"1251",37739
"1252",61997
"1253",41704
"1254",35672
"1255",86385
"1256",37700
"1257",41119
"1258",47190
"1259",23114
"1260",52780
"1261",26546
"1262",33631
"1263",44486
"1264",43537
"1265",62140
"1266",33462
"1267",44252
"1268",42380
"1269",37167
"1270",22568
"1271",44044
"1272",26169
"1273",21593
"1274",21346
"1275",56420
"1276",48711
"1277",42094
"1278",26507
"1279",38415
"1280",42250
"1281",30511
"1282",39572
"1283",30186
"1284",37024
"1285",57967
"1286",37505
"1287",29198
"1288",22269
"1289",40365
"1290",28782
"1291",44681
"1292",38168
"1293",26091
"1294",23205
"1295",33020
"1296",31668
"1297",30459
"1298",37687
"1299",51454
"1300",42861
"1301",45084
"1302",32747
"1303",51896
"1304",32773
"1305",73086
"1306",62634
"1307",39117
"1308",44096
"1309",27196
"1310",57265
"1311",46384
"1312",52156
"1313",60437
"1314",66534
"1315",39871
"1316",21749
"1317",26494
"1318",75413
"1319",33605
"1320",31343
"1321",55276
"1322",30628
"1323",71864
"1324",33631
"1325",46111
"1326",73749
"1327",51441
"1328",29861
"1329",31447
"1330",51350
"1331",24128
"1332",45942
"1333",28340
"1334",40274
"1335",74438
"1336",42614
"1337",38675
"1338",37063
"1339",32357
"1340",31733
"1341",51662
"1342",60970
"1343",21814
"1344",41925
"1345",53547
"1346",39507
"1347",46657
"1348",24076
"1349",43563
"1350",25558
"1351",35880
"1352",24570
"1353",38610
"1354",52364
"1355",39689
"1356",22451
"1357",55367
"1358",23777
"1359",34398
"1360",36829
"1361",62504
"1362",57941
"1363",50466
"1364",39520
"1365",67743
"1366",49439
"1367",38324
"1368",59137
"1369",41366
"1370",43966
"1371",51233
"1372",35789
"1373",40872
"1374",76765
"1375",48945
"1376",32721
"1377",22503
"1378",22867
"1379",42809
"1380",76934
"1381",23348
"1382",39078
"1383",38844
"1384",38246
"1385",52416
"1386",26117
"1387",34619
"1388",35204
"1389",30173
"1390",44811
"1391",38012
"1392",25233
"1393",38545
"1394",42068
"1395",43732
"1396",86684
"1397",44902
"1398",32097
"1399",42783
"1400",47684
"1401",42822
"1402",33345
"1403",36504
"1404",34892
"1405",32123
"1406",28860
"1407",58877
"1408",55211
"1409",44200
"1410",26676
"1411",76973
"1412",40274
"1413",49231
"1414",22750
"1415",33475
"1416",52234
"1417",32825
"1418",45812
"1419",56069
"1420",30199
"1421",26507
"1422",26286
"1423",50336
"1424",71695
"1425",31421
"1426",74282
"1427",37544
"1428",32409
"1429",65390
"1430",34996
"1431",46423
"1432",68133
"1433",44486
"1434",22815
"1435",34723
"1436",41743
"1437",23465
"1438",64818
"1439",57863
"1440",33826
"1441",37687
"1442",68562
"1443",38051
"1444",45734
"1445",50050
"1446",22178
"1447",38246
"1448",21411
"1449",51818
"1450",33592
"1451",63713
"1452",32435
"1453",61750
"1454",64558
"1455",38571
"1456",31681
"1457",51363
"1458",59488
"1459",39195
"1460",38948
"1461",41561
"1462",47307
"1463",32578
"1464",35932
"1465",41587
"1466",76180
"1467",34814
"1468",69420
"1469",57486
"1470",36374
"1471",47515
"1472",43407
"1473",29666
"1474",28704
"1475",58539
"1476",44447
"1477",26260
"1478",25857
"1479",43342
"1480",37089
"1481",51324
"1482",51831
"1483",61074
"1484",46579
"1485",50401
"1486",28574
"1487",63336
"1488",25207
"1489",22880
"1490",26364
"1491",50830
"1492",32565
"1493",27508
"1494",27729
"1495",28106
"1496",46319
"1497",55770
"1498",38467
"1499",54873
"1500",33137
"1501",46124
"1502",47320
"1503",76700
"1504",65507
"1505",64870
"1506",21476
"1507",35711
"1508",31369
"1509",42432
"1510",69277
"1511",62283
"1512",37492
"1513",33657
"1514",60840
"1515",38350
"1516",22516
"1517",67860
"1518",59917
"1519",35867
"1520",31590
"1521",88764
"1522",39767
"1523",33150
"1524",25025
"1525",32318
"1526",62829
"1527",24635
"1528",30758
"1529",87789
"1530",34476
"1531",82615
"1532",37999
"1533",32071
"1534",45617
"1535",34333
"1536",56966
"1537",42263
"1538",44447
"1539",27157
"1540",67509
"1541",38818
"1542",34294
"1543",79742
"1544",28145
"1545",59956
"1546",21762
"1547",53911
"1548",35542
"1549",43745
"1550",27950
"1551",76141
"1552",35776
"1553",74256
"1554",21996
"1555",31993
"1556",40001
"1557",51103
"1558",37908
"1559",36556
"1560",63193
"1561",40560
"1562",24271
"1563",47138
"1564",46345
"1565",52468
"1566",53287
"1567",49699
"1568",24830
"1569",44213
"1570",52481
"1571",49517
"1572",33774
"1573",40911
"1574",36075
"1575",47125
"1576",43459
"1577",61945
"1578",72137
"1579",77103
"1580",26494
"1581",42172
"1582",39572
"1583",27534
"1584",52403
"1585",50674
"1586",31473
"1587",37271
"1588",72618
"1589",46319
"1590",41548
"1591",31369
"1592",51896
"1593",37245
"1594",39949
"1595",46098
"1596",44590
"1597",47541
"1598",21749
"1599",75127
"1600",21333
"1601",60710
"1602",25051
"1603",37843
"1604",37479
"1605",30862
"1606",30004
"1607",77025
"1608",36764
"1609",34372
"1610",36101
"1611",45110
"1612",22035
"1613",48139
"1614",31746
"1615",26806
"1616",77012
"1617",43667
"1618",61854
"1619",56264
"1620",36218
"1621",29900
"1622",40066
"1623",37063
"1624",44174
"1625",51116
"1626",36504
"1627",41184
"1628",40352
"1629",37843
"1630",28860
"1631",39793
"1632",38922
"1633",25792
"1634",63024
"1635",47255
"1636",39598
"1637",43615
"1638",28535
"1639",37674
"1640",68627
"1641",29822
"1642",22737
"1643",45266
"1644",41275
"1645",28847
"1646",35347
"1647",38558
"1648",32214
"1649",44226
"1650",40703
"1651",48789
"1652",32487
"1653",29094
"1654",29562
"1655",48815
"1656",28990
"1657",50453
"1658",38649
"1659",53105
"1660",43433
"1661",30459
"1662",47671
"1663",49530
"1664",24154
"1665",42861
"1666",40547
"1667",55133
"1668",57876
"1669",44798
"1670",26377
"1671",51493
"1672",35503
"1673",60567
"1674",51792
"1675",33371
"1676",47229
"1677",24869
"1678",26468
"1679",26741
"1680",45812
"1681",22854
"1682",44460
"1683",26910
"1684",32786
"1685",73268
"1686",46215
"1687",35711
"1688",46176
"1689",28535
"1690",43992
"1691",29757
"1692",46436
"1693",37297
"1694",37804
"1695",36985
"1696",76414
"1697",47073
"1698",29497
"1699",22074
"1700",78416
"1701",33657
"1702",70343
"1703",31317
"1704",42900
"1705",70200
"1706",22672
"1707",32669
"1708",73515
"1709",44395
"1710",37050
"1711",62712
"1712",33696
"1713",31577
"1714",42380
"1715",27911
"1716",27313
"1717",65117
"1718",76908
"1719",37154
"1720",23270
"1721",62491
"1722",53963
"1723",43355
"1724",38961
"1725",37310
"1726",30940
"1727",59878
"1728",30043
"1729",38441
"1730",58227
"1731",26754
"1732",54691
"1733",54613
"1734",28288
"1735",59657
"1736",26117
"1737",36712
"1738",33007
"1739",40989
"1740",57785
"1741",36192
"1742",40144
"1743",31551
"1744",58695
"1745",63908
"1746",47619
"1747",39884
"1748",47281
"1749",46709
"1750",24440
"1751",50115
"1752",24050
"1753",51116
"1754",32032
"1755",46540
"1756",30992
"1757",38818
"1758",40430
"1759",39741
"1760",50505
"1761",32812
"1762",39416
"1763",42835
"1764",39845
"1765",30615
"1766",50648
"1767",54756
"1768",39663
"1769",62985
"1770",43615
"1771",27339
"1772",44655
"1773",48620
"1774",58370
"1775",39195
"1776",41145
"1777",44070
"1778",66287
"1779",41847
"1780",48191
"1781",63778
"1782",34710
"1783",55211
"1784",38246
"1785",65988
"1786",40846
"1787",21788
"1788",31109
"1789",61399
"1790",35152
"1791",51155
"1792",28574
"1793",36114
"1794",41340
"1795",22672
"1796",77844
"1797",49868
"1798",71097
"1799",55224
"1800",31538
"1801",51272
"1802",34138
"1803",41054
"1804",32357
"1805",41457
"1806",25298
"1807",75062
"1808",25129
"1809",39481
"1810",37089
"1811",39299
"1812",33657
"1813",53365
"1814",32903
"1815",36153
"1816",28730
"1817",34645
"1818",42263
"1819",49127
"1820",42861
"1821",25727
"1822",27456
"1823",31655
"1824",31304
"1825",40313
"1826",43524
"1827",45864
"1828",51961
"1829",43329
"1830",42211
"1831",67730
"1832",38194
"1833",32110
"1834",43862
"1835",37973
"1836",62491
"1837",44161
"1838",34762
"1839",32045
"1840",31278
"1841",30758
"1842",33254
"1843",37102
"1844",40365
"1845",36920
"1846",39169
"1847",46748
"1848",65234
"1849",63947
"1850",47671
"1851",37622
"1852",41470
"1853",31616
"1854",34801
"1855",42991
"1856",46358
"1857",39585
"1858",40612
"1859",36894
"1860",27794
"1861",72670
"1862",36101
"1863",23933
"1864",74633
"1865",28444
"1866",40911
"1867",39442
"1868",34047
"1869",33670
"1870",48152
"1871",53625
"1872",54223
"1873",77571
"1874",64467
"1875",43251
"1876",62881
"1877",45110
"1878",33111
"1879",45851
"1880",29406
"1881",44343
"1882",21411
"1883",81185
"1884",32188
"1885",60242
"1886",51558
"1887",32864
"1888",40443
"1889",42250
"1890",26611
"1891",38389
"1892",46254
"1893",51220
"1894",62140
"1895",33462
"1896",58149
"1897",34671
"1898",32474
"1899",37947
"1900",44993
"1901",35646
"1902",39559
"1903",40014
"1904",41639
"1905",31291
"1906",36699
"1907",56602
"1908",37167
"1909",53131
"1910",28873
"1911",26208
"1912",30069
"1913",35282
"1914",34853
"1915",37609
"1916",22451
"1917",23985
"1918",42614
"1919",34164
"1920",45760
"1921",41288
"1922",37115
"1923",36803
"1924",32838
"1925",61620
"1926",43901
"1927",59176
"1928",28249
"1929",33397
"1930",41769
"1931",59800
"1932",52702
"1933",57343
"1934",23101
"1935",61698
"1936",32071
"1937",25350
"1938",50570
"1939",36712
"1940",31694
"1941",46618
"1942",32669
"1943",37193
"1944",38493
"1945",41184
"1946",30277
"1947",60996
"1948",44811
"1949",40157
"1950",34398
"1951",35659
"1952",59293
"1953",36530
"1954",21177
"1955",31330
"1956",50063
"1957",54873
"1958",21957
"1959",36634
"1960",51259
"1961",29094
"1962",57434
"1963",48594
"1964",73073
"1965",43342
"1966",38246
"1967",46436
"1968",43706
"1969",45799
"1970",33605
"1971",55497
"1972",45565
"1973",72306
"1974",43199
"1975",49478
"1976",35815
"1977",36309
"1978",31577
"1979",24726
"1980",32396
"1981",36231
"1982",40612
"1983",33280
"1984",32175
"1985",43758
"1986",37102
"1987",34372
"1988",60671
"1989",61295
"1990",24557
"1991",38376
"1992",26338
"1993",49218
"1994",36088
"1995",37310
"1996",27105
"1997",37414
"1998",44876
"1999",34983
"2000",22607
"2001",21840
"2002",31772
"2003",76193
"2004",42965
"2005",34125
"2006",44330
"2007",32942
"2008",23088
"2009",33722
"2010",36725
"2011",61802
"2012",63375
"2013",32019
"2014",44512
"2015",47177
"2016",62907
"2017",37531
"2018",37388
"2019",37063
"2020",37999
"2021",25662
"2022",34970
"2023",28977
"2024",38649
"2025",33111
"2026",35295
"2027",51077
"2028",31109
"2029",37440
"2030",30316
"2031",34255
"2032",35945
"2033",45097
"2034",32110
"2035",44668
"2036",28899
"2037",33709
"2038",38064
"2039",42913
"2040",31525
"2041",41704
"2042",52767
"2043",30862
"2044",59124
"2045",43732
"2046",41184
"2047",26663
"2048",32968
"2049",77571
"2050",28574
"2051",65312
"2052",34242
"2053",36452
"2054",51103
"2055",48568
"2056",35919
"2057",72059
"2058",40274
"2059",24869
"2060",26312
"2061",39364
"2062",40313
"2063",37661
"2064",30836
"2065",57252
"2066",36179
"2067",33566
"2068",40872
"2069",35958
"2070",57837
"2071",26260
"2072",51337
"2073",33280
"2074",33293
"2075",32149
"2076",76180
"2077",27898
"2078",40300
"2079",32123
"2080",39078
"2081",37401
"2082",36556
"2083",51376
"2084",27599
"2085",32799
"2086",23478
"2087",45526
"2088",39897
"2089",39442
"2090",55224
"2091",41912
"2092",41951
"2093",61061
"2094",34424
"2095",52338
"2096",50245
"2097",28353
"2098",74802
"2099",47424
"2100",41366
"2101",68757
"2102",41652
"2103",40807
"2104",35594
"2105",24102
"2106",34424
"2107",21658
"2108",51766
"2109",23764
"2110",48256
"2111",25246
"2112",26247
"2113",43563
"2114",34905
"2115",39325
"2116",40508
"2117",31304
"2118",63856
"2119",46085
"2120",22412
"2121",62478
"2122",79638
"2123",27625
"2124",34333
"2125",34762
"2126",43758
"2127",46098
"2128",52962
"2129",50401
"2130",34372
"2131",50947
"2132",47099
"2133",56940
"2134",39065
"2135",41951
"2136",38597
"2137",52117
"2138",37089
"2139",28743
"2140",48711
"2141",44681
