"","Studentnummer","FOS","Maand"
"609",4019973,"ja","december"
"3452",4019973,"ja","juni"
"947",4020273,"nee","december"
"3790",4020273,"nee","juni"
"1492",4020420,"nee","december"
"4335",4020420,"nee","juni"
"691",4021059,"ja","december"
"3534",4021059,"ja","juni"
"1464",4021235,"nee","december"
"4307",4021235,"nee","juni"
"2413",4021420,"ja","december"
"5256",4021420,"ja","juni"
"1795",4021453,"nee","december"
"4638",4021453,"nee","juni"
"2524",4021652,"ja","december"
"5367",4021652,"ja","juni"
"2673",4021800,"ja","december"
"5516",4021800,"ja","juni"
"37",4021874,"ja","december"
"2880",4021874,"ja","juni"
"1992",4021882,"nee","december"
"4835",4021882,"nee","juni"
"1981",4022218,"nee","december"
"4824",4022218,"nee","juni"
"1318",4022444,"nee","december"
"4161",4022444,"nee","juni"
"656",4023232,"nee","december"
"3499",4023232,"nee","juni"
"1436",4023261,"ja","december"
"4279",4023261,"ja","juni"
"2504",4023473,"ja","december"
"5347",4023473,"ja","juni"
"2816",4023658,"ja","december"
"5659",4023658,"ja","juni"
"165",4023835,"nee","december"
"3008",4023835,"nee","juni"
"784",4025065,"ja","december"
"3627",4025065,"ja","juni"
"7",4025172,"ja","december"
"2850",4025172,"ja","juni"
"1198",4025185,"nee","december"
"4041",4025185,"nee","juni"
"723",4025392,"nee","december"
"3566",4025392,"nee","juni"
"1229",4026432,"nee","december"
"4072",4026432,"nee","juni"
"1383",4026543,"ja","december"
"4226",4026543,"ja","juni"
"1458",4026569,"ja","december"
"4301",4026569,"ja","juni"
"209",4026592,"nee","december"
"3052",4026592,"nee","juni"
"1978",4026841,"ja","december"
"4821",4026841,"ja","juni"
"454",4026945,"nee","december"
"3297",4026945,"nee","juni"
"1733",4027016,"ja","december"
"4576",4027016,"ja","juni"
"80",4027074,"ja","december"
"2923",4027074,"ja","juni"
"1030",4027095,"nee","december"
"3873",4027095,"nee","juni"
"285",4027218,"nee","december"
"3128",4027218,"nee","juni"
"911",4027247,"ja","december"
"3754",4027247,"ja","juni"
"1948",4027383,"ja","december"
"4791",4027383,"ja","juni"
"1129",4027959,"ja","december"
"3972",4027959,"ja","juni"
"1718",4027992,"ja","december"
"4561",4027992,"ja","juni"
"1930",4028489,"ja","december"
"4773",4028489,"ja","juni"
"1255",4029784,"nee","december"
"4098",4029784,"nee","juni"
"514",4030301,"nee","december"
"3357",4030301,"nee","juni"
"2636",4030691,"ja","december"
"5479",4030691,"ja","juni"
"1961",4031005,"nee","december"
"4804",4031005,"nee","juni"
"2607",4032373,"ja","december"
"5450",4032373,"ja","juni"
"499",4033621,"nee","december"
"3342",4033621,"nee","juni"
"878",4035539,"nee","december"
"3721",4035539,"nee","juni"
"2716",4036153,"nee","december"
"5559",4036153,"nee","juni"
"1427",4036498,"nee","december"
"4270",4036498,"nee","juni"
"2532",4036519,"ja","december"
"5375",4036519,"ja","juni"
"2434",4037357,"ja","december"
"5277",4037357,"ja","juni"
"1663",4037716,"ja","december"
"4506",4037716,"ja","juni"
"2770",4037752,"nee","december"
"5613",4037752,"nee","juni"
"2522",4037865,"ja","december"
"5365",4037865,"ja","juni"
"1187",4038035,"nee","december"
"4030",4038035,"nee","juni"
"2721",4038124,"nee","december"
"5564",4038124,"nee","juni"
"2103",4038285,"nee","december"
"4946",4038285,"nee","juni"
"54",4039240,"ja","december"
"2897",4039240,"ja","juni"
"962",4039247,"ja","december"
"3805",4039247,"ja","juni"
"720",4040077,"ja","december"
"3563",4040077,"ja","juni"
"758",4040335,"ja","december"
"3601",4040335,"ja","juni"
"2794",4040499,"nee","december"
"5637",4040499,"nee","juni"
"2161",4041278,"ja","december"
"5004",4041278,"ja","juni"
"1607",4041297,"ja","december"
"4450",4041297,"ja","juni"
"1995",4041542,"nee","december"
"4838",4041542,"nee","juni"
"2404",4041638,"ja","december"
"5247",4041638,"ja","juni"
"2567",4042773,"nee","december"
"5410",4042773,"ja","juni"
"309",4043781,"ja","december"
"3152",4043781,"ja","juni"
"1709",4044330,"ja","december"
"4552",4044330,"ja","juni"
"2076",4044932,"ja","december"
"4919",4044932,"ja","juni"
"1064",4046740,"nee","december"
"3907",4046740,"nee","juni"
"2156",4047188,"nee","december"
"4999",4047188,"nee","juni"
"1947",4047399,"ja","december"
"4790",4047399,"ja","juni"
"1647",4047541,"nee","december"
"4490",4047541,"nee","juni"
"275",4047931,"ja","december"
"3118",4047931,"ja","juni"
"1239",4049049,"ja","december"
"4082",4049049,"ja","juni"
"2613",4049448,"ja","december"
"5456",4049448,"ja","juni"
"131",4049460,"nee","december"
"2974",4049460,"nee","juni"
"2722",4049669,"ja","december"
"5565",4049669,"ja","juni"
"783",4049761,"ja","december"
"3626",4049761,"ja","juni"
"2206",4050667,"nee","december"
"5049",4050667,"nee","juni"
"2833",4051594,"nee","december"
"5676",4051594,"nee","juni"
"439",4051723,"ja","december"
"3282",4051723,"ja","juni"
"1698",4052566,"ja","december"
"4541",4052566,"ja","juni"
"2500",4052601,"nee","december"
"5343",4052601,"nee","juni"
"613",4052616,"ja","december"
"3456",4052616,"ja","juni"
"827",4052830,"nee","december"
"3670",4052830,"nee","juni"
"1497",4053317,"nee","december"
"4340",4053317,"nee","juni"
"2471",4053921,"nee","december"
"5314",4053921,"nee","juni"
"1495",4054181,"ja","december"
"4338",4054181,"ja","juni"
"700",4055015,"nee","december"
"3543",4055015,"nee","juni"
"96",4055083,"nee","december"
"2939",4055083,"ja","juni"
"1697",4055517,"ja","december"
"4540",4055517,"ja","juni"
"1939",4055774,"nee","december"
"4782",4055774,"nee","juni"
"2333",4055908,"nee","december"
"5176",4055908,"nee","juni"
"1373",4056427,"nee","december"
"4216",4056427,"nee","juni"
"1316",4056561,"ja","december"
"4159",4056561,"ja","juni"
"72",4056658,"ja","december"
"2915",4056658,"ja","juni"
"711",4056960,"nee","december"
"3554",4056960,"nee","juni"
"1247",4057558,"nee","december"
"4090",4057558,"nee","juni"
"211",4057634,"nee","december"
"3054",4057634,"nee","juni"
"1632",4057712,"ja","december"
"4475",4057712,"ja","juni"
"639",4057718,"nee","december"
"3482",4057718,"nee","juni"
"2376",4058904,"nee","december"
"5219",4058904,"nee","juni"
"1662",4059271,"ja","december"
"4505",4059271,"ja","juni"
"1788",4059276,"nee","december"
"4631",4059276,"nee","juni"
"756",4060015,"nee","december"
"3599",4060015,"nee","juni"
"2255",4060975,"nee","december"
"5098",4060975,"nee","juni"
"123",4061139,"ja","december"
"2966",4061139,"ja","juni"
"505",4061564,"nee","december"
"3348",4061564,"nee","juni"
"2637",4062723,"nee","december"
"5480",4062723,"nee","juni"
"392",4062912,"ja","december"
"3235",4062912,"ja","juni"
"2054",4063176,"ja","december"
"4897",4063176,"ja","juni"
"2074",4064097,"nee","december"
"4917",4064097,"nee","juni"
"410",4064249,"ja","december"
"3253",4064249,"ja","juni"
"1958",4064303,"nee","december"
"4801",4064303,"nee","juni"
"753",4064508,"ja","december"
"3596",4064508,"ja","juni"
"1931",4064674,"nee","december"
"4774",4064674,"nee","juni"
"423",4064923,"ja","december"
"3266",4064923,"ja","juni"
"2671",4065127,"nee","december"
"5514",4065127,"nee","juni"
"372",4065281,"nee","december"
"3215",4065281,"nee","juni"
"2424",4065325,"nee","december"
"5267",4065325,"nee","juni"
"1976",4065454,"nee","december"
"4819",4065454,"nee","juni"
"1822",4065870,"ja","december"
"4665",4065870,"ja","juni"
"1895",4066333,"ja","december"
"4738",4066333,"ja","juni"
"57",4066393,"nee","december"
"2900",4066393,"nee","juni"
"1804",4066870,"ja","december"
"4647",4066870,"ja","juni"
"1253",4067696,"nee","december"
"4096",4067696,"nee","juni"
"398",4067886,"ja","december"
"3241",4067886,"ja","juni"
"2083",4067926,"nee","december"
"4926",4067926,"nee","juni"
"1686",4068233,"ja","december"
"4529",4068233,"ja","juni"
"1990",4068277,"nee","december"
"4833",4068277,"nee","juni"
"672",4068833,"ja","december"
"3515",4068833,"ja","juni"
"1489",4069457,"nee","december"
"4332",4069457,"nee","juni"
"1648",4069627,"nee","december"
"4491",4069627,"nee","juni"
"977",4069833,"nee","december"
"3820",4069833,"nee","juni"
"1283",4069953,"ja","december"
"4126",4069953,"ja","juni"
"1920",4070546,"nee","december"
"4763",4070546,"nee","juni"
"418",4070566,"nee","december"
"3261",4070566,"nee","juni"
"1004",4070773,"ja","december"
"3847",4070773,"ja","juni"
"834",4070816,"nee","december"
"3677",4070816,"ja","juni"
"2323",4071359,"ja","december"
"5166",4071359,"ja","juni"
"2107",4071363,"nee","december"
"4950",4071363,"nee","juni"
"1312",4071967,"ja","december"
"4155",4071967,"ja","juni"
"651",4072008,"ja","december"
"3494",4072008,"ja","juni"
"799",4072195,"ja","december"
"3642",4072195,"ja","juni"
"634",4072385,"ja","december"
"3477",4072385,"ja","juni"
"295",4072525,"ja","december"
"3138",4072525,"ja","juni"
"2106",4073196,"ja","december"
"4949",4073196,"ja","juni"
"1377",4073674,"ja","december"
"4220",4073674,"ja","juni"
"1723",4073900,"ja","december"
"4566",4073900,"ja","juni"
"1138",4074580,"ja","december"
"3981",4074580,"ja","juni"
"1218",4075165,"ja","december"
"4061",4075165,"ja","juni"
"703",4075327,"nee","december"
"3546",4075327,"nee","juni"
"2345",4075562,"nee","december"
"5188",4075562,"nee","juni"
"1893",4075675,"ja","december"
"4736",4075675,"ja","juni"
"108",4076379,"ja","december"
"2951",4076379,"ja","juni"
"2244",4076706,"nee","december"
"5087",4076706,"nee","juni"
"1728",4077078,"nee","december"
"4571",4077078,"nee","juni"
"2182",4077586,"ja","december"
"5025",4077586,"ja","juni"
"88",4078070,"ja","december"
"2931",4078070,"ja","juni"
"2724",4078192,"ja","december"
"5567",4078192,"ja","juni"
"1918",4078635,"nee","december"
"4761",4078635,"nee","juni"
"1629",4078772,"nee","december"
"4472",4078772,"nee","juni"
"2480",4079757,"nee","december"
"5323",4079757,"nee","juni"
"1800",4079931,"ja","december"
"4643",4079931,"ja","juni"
"1342",4079958,"ja","december"
"4185",4079958,"ja","juni"
"1818",4080468,"ja","december"
"4661",4080468,"ja","juni"
"184",4080639,"ja","december"
"3027",4080639,"ja","juni"
"1300",4081444,"ja","december"
"4143",4081444,"ja","juni"
"2648",4081868,"nee","december"
"5491",4081868,"nee","juni"
"2583",4082092,"ja","december"
"5426",4082092,"ja","juni"
"2002",4082583,"ja","december"
"4845",4082583,"ja","juni"
"460",4082734,"ja","december"
"3303",4082734,"ja","juni"
"414",4082878,"nee","december"
"3257",4082878,"ja","juni"
"1848",4082920,"ja","december"
"4691",4082920,"ja","juni"
"490",4082962,"nee","december"
"3333",4082962,"ja","juni"
"260",4083732,"nee","december"
"3103",4083732,"nee","juni"
"1738",4083972,"ja","december"
"4581",4083972,"ja","juni"
"1720",4084154,"ja","december"
"4563",4084154,"ja","juni"
"2503",4084552,"ja","december"
"5346",4084552,"ja","juni"
"216",4084803,"ja","december"
"3059",4084803,"ja","juni"
"1615",4085112,"nee","december"
"4458",4085112,"nee","juni"
"1656",4085464,"ja","december"
"4499",4085464,"ja","juni"
"205",4085724,"nee","december"
"3048",4085724,"nee","juni"
"1906",4086083,"ja","december"
"4749",4086083,"ja","juni"
"1831",4086231,"ja","december"
"4674",4086231,"ja","juni"
"2366",4086340,"ja","december"
"5209",4086340,"ja","juni"
"265",4087080,"ja","december"
"3108",4087080,"ja","juni"
"1271",4087882,"nee","december"
"4114",4087882,"ja","juni"
"899",4088306,"ja","december"
"3742",4088306,"ja","juni"
"1164",4089340,"nee","december"
"4007",4089340,"nee","juni"
"864",4089577,"nee","december"
"3707",4089577,"nee","juni"
"2375",4089826,"ja","december"
"5218",4089826,"ja","juni"
"1627",4090352,"ja","december"
"4470",4090352,"ja","juni"
"519",4090881,"nee","december"
"3362",4090881,"nee","juni"
"1135",4091302,"nee","december"
"3978",4091302,"nee","juni"
"1106",4092030,"nee","december"
"3949",4092030,"ja","juni"
"2590",4092057,"ja","december"
"5433",4092057,"ja","juni"
"281",4092292,"nee","december"
"3124",4092292,"nee","juni"
"877",4092546,"nee","december"
"3720",4092546,"nee","juni"
"1375",4093104,"nee","december"
"4218",4093104,"nee","juni"
"2091",4093172,"nee","december"
"4934",4093172,"nee","juni"
"1790",4094396,"nee","december"
"4633",4094396,"nee","juni"
"1022",4094444,"ja","december"
"3865",4094444,"ja","juni"
"1404",4094445,"ja","december"
"4247",4094445,"ja","juni"
"2457",4094463,"ja","december"
"5300",4094463,"ja","juni"
"633",4094614,"nee","december"
"3476",4094614,"nee","juni"
"1652",4094745,"nee","december"
"4495",4094745,"nee","juni"
"1522",4095200,"nee","december"
"4365",4095200,"nee","juni"
"564",4095464,"nee","december"
"3407",4095464,"ja","juni"
"1449",4095912,"nee","december"
"4292",4095912,"nee","juni"
"2821",4096240,"nee","december"
"5664",4096240,"nee","juni"
"2632",4096512,"ja","december"
"5475",4096512,"ja","juni"
"2835",4096563,"ja","december"
"5678",4096563,"ja","juni"
"862",4097396,"nee","december"
"3705",4097396,"nee","juni"
"1547",4097639,"ja","december"
"4390",4097639,"ja","juni"
"1080",4097773,"nee","december"
"3923",4097773,"ja","juni"
"1488",4098179,"ja","december"
"4331",4098179,"ja","juni"
"2353",4098241,"ja","december"
"5196",4098241,"ja","juni"
"1910",4098615,"nee","december"
"4753",4098615,"nee","juni"
"1287",4099184,"nee","december"
"4130",4099184,"ja","juni"
"100",4099521,"nee","december"
"2943",4099521,"nee","juni"
"1088",4100604,"ja","december"
"3931",4100604,"ja","juni"
"188",4102515,"ja","december"
"3031",4102515,"ja","juni"
"1430",4102774,"nee","december"
"4273",4102774,"nee","juni"
"1618",4102788,"nee","december"
"4461",4102788,"nee","juni"
"1142",4103107,"ja","december"
"3985",4103107,"ja","juni"
"95",4104239,"nee","december"
"2938",4104239,"nee","juni"
"1726",4104849,"nee","december"
"4569",4104849,"nee","juni"
"856",4105053,"ja","december"
"3699",4105053,"ja","juni"
"2112",4105631,"ja","december"
"4955",4105631,"ja","juni"
"803",4106634,"nee","december"
"3646",4106634,"nee","juni"
"1988",4107179,"nee","december"
"4831",4107179,"nee","juni"
"1107",4108257,"ja","december"
"3950",4108257,"ja","juni"
"843",4108456,"nee","december"
"3686",4108456,"nee","juni"
"974",4109017,"ja","december"
"3817",4109017,"ja","juni"
"2052",4109338,"ja","december"
"4895",4109338,"ja","juni"
"2548",4110216,"nee","december"
"5391",4110216,"nee","juni"
"1350",4110295,"nee","december"
"4193",4110295,"nee","juni"
"2620",4110738,"nee","december"
"5463",4110738,"nee","juni"
"888",4110855,"ja","december"
"3731",4110855,"ja","juni"
"1357",4111014,"nee","december"
"4200",4111014,"nee","juni"
"2148",4111652,"nee","december"
"4991",4111652,"ja","juni"
"710",4112162,"nee","december"
"3553",4112162,"nee","juni"
"376",4112228,"ja","december"
"3219",4112228,"ja","juni"
"1304",4112366,"ja","december"
"4147",4112366,"ja","juni"
"102",4112586,"ja","december"
"2945",4112586,"ja","juni"
"2630",4112766,"nee","december"
"5473",4112766,"nee","juni"
"86",4114103,"nee","december"
"2929",4114103,"nee","juni"
"409",4114236,"ja","december"
"3252",4114236,"ja","juni"
"292",4114676,"ja","december"
"3135",4114676,"ja","juni"
"1721",4114778,"ja","december"
"4564",4114778,"ja","juni"
"745",4114958,"ja","december"
"3588",4114958,"ja","juni"
"2003",4115108,"nee","december"
"4846",4115108,"nee","juni"
"1075",4115256,"ja","december"
"3918",4115256,"ja","juni"
"34",4115756,"ja","december"
"2877",4115756,"ja","juni"
"1752",4116034,"ja","december"
"4595",4116034,"ja","juni"
"137",4116047,"nee","december"
"2980",4116047,"nee","juni"
"538",4116307,"ja","december"
"3381",4116307,"ja","juni"
"2330",4116421,"nee","december"
"5173",4116421,"nee","juni"
"1148",4116435,"ja","december"
"3991",4116435,"ja","juni"
"2761",4116812,"nee","december"
"5604",4116812,"nee","juni"
"659",4116865,"nee","december"
"3502",4116865,"nee","juni"
"2207",4116945,"ja","december"
"5050",4116945,"ja","juni"
"1889",4116970,"nee","december"
"4732",4116970,"nee","juni"
"2246",4117243,"ja","december"
"5089",4117243,"ja","juni"
"1616",4117529,"nee","december"
"4459",4117529,"nee","juni"
"972",4117576,"nee","december"
"3815",4117576,"nee","juni"
"2023",4117662,"ja","december"
"4866",4117662,"ja","juni"
"1169",4117932,"nee","december"
"4012",4117932,"nee","juni"
"937",4118074,"ja","december"
"3780",4118074,"ja","juni"
"1439",4118413,"nee","december"
"4282",4118413,"nee","juni"
"1226",4118893,"ja","december"
"4069",4118893,"ja","juni"
"1599",4119174,"ja","december"
"4442",4119174,"ja","juni"
"457",4119272,"nee","december"
"3300",4119272,"nee","juni"
"446",4119432,"nee","december"
"3289",4119432,"nee","juni"
"354",4119922,"nee","december"
"3197",4119922,"nee","juni"
"2501",4121080,"ja","december"
"5344",4121080,"ja","juni"
"2048",4122061,"nee","december"
"4891",4122061,"nee","juni"
"2045",4122196,"ja","december"
"4888",4122196,"ja","juni"
"186",4122212,"ja","december"
"3029",4122212,"ja","juni"
"2178",4122691,"ja","december"
"5021",4122691,"ja","juni"
"35",4122901,"ja","december"
"2878",4122901,"ja","juni"
"2843",4123153,"ja","december"
"5686",4123153,"ja","juni"
"1399",4123770,"nee","december"
"4242",4123770,"nee","juni"
"2625",4123815,"ja","december"
"5468",4123815,"ja","juni"
"2768",4124293,"nee","december"
"5611",4124293,"nee","juni"
"1207",4124332,"ja","december"
"4050",4124332,"ja","juni"
"3",4124412,"nee","december"
"2846",4124412,"nee","juni"
"2748",4124924,"ja","december"
"5591",4124924,"ja","juni"
"401",4125177,"nee","december"
"3244",4125177,"ja","juni"
"1580",4125214,"nee","december"
"4423",4125214,"nee","juni"
"1502",4125256,"ja","december"
"4345",4125256,"ja","juni"
"2624",4125290,"ja","december"
"5467",4125290,"ja","juni"
"1001",4125444,"nee","december"
"3844",4125444,"nee","juni"
"394",4125623,"ja","december"
"3237",4125623,"ja","juni"
"2251",4126393,"ja","december"
"5094",4126393,"ja","juni"
"1177",4126479,"nee","december"
"4020",4126479,"nee","juni"
"573",4126855,"ja","december"
"3416",4126855,"ja","juni"
"1435",4127228,"ja","december"
"4278",4127228,"ja","juni"
"2461",4127835,"ja","december"
"5304",4127835,"ja","juni"
"1486",4128033,"ja","december"
"4329",4128033,"ja","juni"
"2478",4128592,"ja","december"
"5321",4128592,"ja","juni"
"1570",4129598,"ja","december"
"4413",4129598,"ja","juni"
"1232",4130189,"nee","december"
"4075",4130189,"nee","juni"
"2755",4130676,"nee","december"
"5598",4130676,"nee","juni"
"1354",4131256,"ja","december"
"4197",4131256,"ja","juni"
"1461",4131297,"nee","december"
"4304",4131297,"nee","juni"
"1563",4131322,"nee","december"
"4406",4131322,"nee","juni"
"967",4131738,"ja","december"
"3810",4131738,"ja","juni"
"2804",4132163,"ja","december"
"5647",4132163,"ja","juni"
"1270",4132257,"ja","december"
"4113",4132257,"ja","juni"
"2384",4132310,"nee","december"
"5227",4132310,"nee","juni"
"2356",4132330,"nee","december"
"5199",4132330,"nee","juni"
"964",4132652,"ja","december"
"3807",4132652,"ja","juni"
"1707",4132667,"nee","december"
"4550",4132667,"nee","juni"
"1405",4133096,"nee","december"
"4248",4133096,"nee","juni"
"386",4133328,"ja","december"
"3229",4133328,"ja","juni"
"654",4133401,"nee","december"
"3497",4133401,"nee","juni"
"1415",4134643,"ja","december"
"4258",4134643,"ja","juni"
"2488",4134879,"ja","december"
"5331",4134879,"ja","juni"
"224",4135328,"ja","december"
"3067",4135328,"ja","juni"
"565",4135947,"ja","december"
"3408",4135947,"ja","juni"
"2800",4136178,"ja","december"
"5643",4136178,"ja","juni"
"958",4136465,"ja","december"
"3801",4136465,"ja","juni"
"2649",4136637,"ja","december"
"5492",4136637,"ja","juni"
"2685",4137597,"ja","december"
"5528",4137597,"ja","juni"
"1026",4137663,"nee","december"
"3869",4137663,"nee","juni"
"2363",4137892,"nee","december"
"5206",4137892,"nee","juni"
"1748",4138316,"nee","december"
"4591",4138316,"nee","juni"
"2598",4139165,"nee","december"
"5441",4139165,"nee","juni"
"2667",4139361,"ja","december"
"5510",4139361,"ja","juni"
"101",4139536,"nee","december"
"2944",4139536,"nee","juni"
"121",4139767,"nee","december"
"2964",4139767,"nee","juni"
"761",4140280,"ja","december"
"3604",4140280,"ja","juni"
"1348",4140993,"nee","december"
"4191",4140993,"nee","juni"
"2263",4141403,"ja","december"
"5106",4141403,"ja","juni"
"366",4141441,"ja","december"
"3209",4141441,"ja","juni"
"471",4141543,"ja","december"
"3314",4141543,"ja","juni"
"513",4141609,"nee","december"
"3356",4141609,"nee","juni"
"336",4142063,"ja","december"
"3179",4142063,"ja","juni"
"1259",4143042,"nee","december"
"4102",4143042,"ja","juni"
"251",4143355,"nee","december"
"3094",4143355,"nee","juni"
"153",4143740,"nee","december"
"2996",4143740,"nee","juni"
"2784",4144652,"nee","december"
"5627",4144652,"nee","juni"
"849",4145217,"ja","december"
"3692",4145217,"ja","juni"
"1484",4145488,"ja","december"
"4327",4145488,"ja","juni"
"1695",4145619,"nee","december"
"4538",4145619,"nee","juni"
"2787",4145651,"nee","december"
"5630",4145651,"nee","juni"
"231",4146808,"nee","december"
"3074",4146808,"nee","juni"
"555",4147398,"nee","december"
"3398",4147398,"nee","juni"
"973",4149204,"ja","december"
"3816",4149204,"ja","juni"
"1448",4149499,"ja","december"
"4291",4149499,"ja","juni"
"1900",4149699,"ja","december"
"4743",4149699,"ja","juni"
"31",4150313,"ja","december"
"2874",4150313,"ja","juni"
"2387",4150555,"nee","december"
"5230",4150555,"nee","juni"
"1073",4150721,"nee","december"
"3916",4150721,"nee","juni"
"105",4151276,"ja","december"
"2948",4151276,"ja","juni"
"2489",4151630,"ja","december"
"5332",4151630,"ja","juni"
"2288",4152302,"nee","december"
"5131",4152302,"nee","juni"
"474",4152578,"nee","december"
"3317",4152578,"ja","juni"
"1171",4152681,"nee","december"
"4014",4152681,"nee","juni"
"543",4152693,"ja","december"
"3386",4152693,"ja","juni"
"1878",4154155,"ja","december"
"4721",4154155,"ja","juni"
"2135",4154454,"nee","december"
"4978",4154454,"nee","juni"
"1447",4154683,"ja","december"
"4290",4154683,"ja","juni"
"2547",4155677,"nee","december"
"5390",4155677,"nee","juni"
"1681",4156474,"ja","december"
"4524",4156474,"ja","juni"
"1872",4156630,"ja","december"
"4715",4156630,"ja","juni"
"2443",4156700,"nee","december"
"5286",4156700,"nee","juni"
"294",4156889,"ja","december"
"3137",4156889,"ja","juni"
"416",4157136,"nee","december"
"3259",4157136,"nee","juni"
"1228",4157399,"nee","december"
"4071",4157399,"nee","juni"
"836",4157445,"ja","december"
"3679",4157445,"ja","juni"
"1217",4157743,"ja","december"
"4060",4157743,"ja","juni"
"738",4158140,"nee","december"
"3581",4158140,"nee","juni"
"455",4158325,"ja","december"
"3298",4158325,"ja","juni"
"1949",4158880,"ja","december"
"4792",4158880,"ja","juni"
"56",4159349,"nee","december"
"2899",4159349,"nee","juni"
"1595",4160591,"nee","december"
"4438",4160591,"nee","juni"
"2464",4160686,"nee","december"
"5307",4160686,"nee","juni"
"2431",4160782,"nee","december"
"5274",4160782,"nee","juni"
"1302",4160975,"nee","december"
"4145",4160975,"nee","juni"
"1358",4161427,"ja","december"
"4201",4161427,"ja","juni"
"1987",4162435,"nee","december"
"4830",4162435,"nee","juni"
"2393",4162983,"nee","december"
"5236",4162983,"nee","juni"
"1740",4163499,"nee","december"
"4583",4163499,"nee","juni"
"236",4163987,"ja","december"
"3079",4163987,"ja","juni"
"1651",4164714,"ja","december"
"4494",4164714,"ja","juni"
"1553",4166052,"nee","december"
"4396",4166052,"nee","juni"
"1315",4166249,"ja","december"
"4158",4166249,"ja","juni"
"1412",4166271,"ja","december"
"4255",4166271,"ja","juni"
"1619",4167435,"ja","december"
"4462",4167435,"ja","juni"
"2593",4167451,"ja","december"
"5436",4167451,"ja","juni"
"1039",4167925,"nee","december"
"3882",4167925,"nee","juni"
"2200",4167965,"nee","december"
"5043",4167965,"ja","juni"
"2186",4169670,"nee","december"
"5029",4169670,"nee","juni"
"1592",4170678,"ja","december"
"4435",4170678,"ja","juni"
"2719",4170950,"ja","december"
"5562",4170950,"ja","juni"
"1463",4171084,"nee","december"
"4306",4171084,"nee","juni"
"1140",4171362,"nee","december"
"3983",4171362,"ja","juni"
"1391",4171719,"nee","december"
"4234",4171719,"nee","juni"
"2136",4171934,"nee","december"
"4979",4171934,"nee","juni"
"1222",4172356,"nee","december"
"4065",4172356,"nee","juni"
"417",4172428,"nee","december"
"3260",4172428,"nee","juni"
"1605",4172809,"nee","december"
"4448",4172809,"nee","juni"
"1206",4173870,"ja","december"
"4049",4173870,"ja","juni"
