"","Studentnummer","hbo_vooropleiding"
"367",5293844,"nee"
"368",5241802,"nee"
"369",5041389,"nee"
"370",5903646,"nee"
"371",5005070,"nee"
"372",5528268,"nee"
"373",5886623,"nee"
"374",5027096,"nee"
"375",5014665,"nee"
"376",5323589,"nee"
"377",5826936,"nee"
"378",5768793,"nee"
"379",5490453,"nee"
"380",5045799,"nee"
"381",5872925,"nee"
"382",5359166,"nee"
"383",5313445,"nee"
"384",5924350,"nee"
"385",5936244,"nee"
"386",5310673,"nee"
"387",5459984,"nee"
"388",5542772,"nee"
"389",5261948,"nee"
"390",5352763,"nee"
"391",5417906,"nee"
"392",5613056,"nee"
"393",5095650,"nee"
"394",5811425,"nee"
"395",5312468,"nee"
"396",5551342,"nee"
"397",5727330,"ja"
"398",5627179,"nee"
"399",5008458,"nee"
"400",5933379,"nee"
"401",5221729,"nee"
"402",5694095,"nee"
"403",5547002,"nee"
"404",5591929,"nee"
"405",5559593,"nee"
"406",5236891,"nee"
"407",5334705,"nee"
"408",5371634,"nee"
"409",5235698,"nee"
"410",5764066,"nee"
"411",5181623,"ja"
"412",5082634,"nee"
"413",5979614,"nee"
"414",5613786,"nee"
"415",5356300,"ja"
"416",5969986,"nee"
"417",5528424,"nee"
"418",5878188,"nee"
"419",5851313,"ja"
"420",5826259,"nee"
"421",5357237,"nee"
"422",5754379,"ja"
"423",5952536,"ja"
"424",5904369,"nee"
"425",5708069,"nee"
"426",5204774,"nee"
"427",5140641,"nee"
"428",5134269,"ja"
"429",5191879,"ja"
"430",5429595,"nee"
"431",5897937,"nee"
"432",5363818,"nee"
"433",5053076,"nee"
"434",5850915,"nee"
"435",5132659,"nee"
"436",5193111,"nee"
"437",5795634,"nee"
"438",5115246,"nee"
"439",5361476,"nee"
"440",5549469,"nee"
"441",5627052,"nee"
"442",5103813,"ja"
"443",5209727,"nee"
"444",5469846,"nee"
"445",5216307,"nee"
"446",5471430,"nee"
"447",5391753,"nee"
"448",5039011,"nee"
"449",5429717,"ja"
"450",5093756,"nee"
"451",5870541,"nee"
"452",5703066,"nee"
"453",5598986,"nee"
"454",5369681,"nee"
"455",5065872,"ja"
"456",5558400,"nee"
"457",5136950,"nee"
"458",5142171,"nee"
"459",5548107,"ja"
"460",5829545,"nee"
"461",5733906,"nee"
"462",5661323,"ja"
"463",5073096,"nee"
"464",5645083,"nee"
"465",5253519,"nee"
"466",5956483,"nee"
"467",5684800,"nee"
"468",5125024,"nee"
"469",5688816,"ja"
"470",5847441,"nee"
"471",5485919,"ja"
"472",5269362,"nee"
"473",5725601,"nee"
"474",5841265,"nee"
"475",5193376,"nee"
"476",5313307,"nee"
"477",5774170,"nee"
"478",5845766,"nee"
"479",5930167,"nee"
"480",5607294,"nee"
"481",5621079,"nee"
"482",5878567,"ja"
"483",5162724,"nee"
"484",5303241,"nee"
"485",5738062,"nee"
"486",5992220,"ja"
"487",5112181,"ja"
"488",5408162,"nee"
"489",5089427,"nee"
"490",5531244,"nee"
"491",5012096,"nee"
"492",5925344,"nee"
"493",5310759,"nee"
"494",5081618,"ja"
"495",5483440,"nee"
"496",5104165,"nee"
"497",5875280,"ja"
"498",5739158,"nee"
"499",5838031,"nee"
"500",5452752,"nee"
"501",5736121,"nee"
"502",5336949,"nee"
"503",5409075,"nee"
"504",5982490,"nee"
"505",5865234,"nee"
"506",5057510,"nee"
"507",5316919,"nee"
"508",5399147,"nee"
"509",5162549,"nee"
"510",5207163,"nee"
"511",5839316,"ja"
"512",5798919,"nee"
"513",5131242,"nee"
"514",5085753,"nee"
"515",5883934,"nee"
"516",5620650,"ja"
"517",5902252,"nee"
"518",5284325,"nee"
"519",5775430,"nee"
"520",5966797,"nee"
"521",5913592,"nee"
"522",5814202,"nee"
"523",5230163,"ja"
"524",5261996,"nee"
"525",5647563,"nee"
"526",5476269,"nee"
"527",5772720,"nee"
"528",5907362,"nee"
"529",5820501,"ja"
"530",5700910,"nee"
"531",5796812,"ja"
"532",5421460,"ja"
"533",5371994,"ja"
"534",5829985,"nee"
"535",5284124,"nee"
"536",5850678,"nee"
"537",5448886,"nee"
"538",5895975,"nee"
"539",5885361,"nee"
"540",5609920,"nee"
"541",5886701,"ja"
"542",5995146,"nee"
"543",5486912,"nee"
"544",5792715,"nee"
"545",5338556,"ja"
"546",5657355,"ja"
"547",5573536,"nee"
"548",5108139,"nee"
"549",5186392,"nee"
"550",5203699,"nee"
"551",5370184,"nee"
"552",5241268,"ja"
"553",5604696,"nee"
"554",5230443,"nee"
"555",5149799,"ja"
"556",5328001,"nee"
"557",5084471,"ja"
"558",5255579,"nee"
"559",5347654,"nee"
"560",5218954,"nee"
"561",5174197,"nee"
"562",5900399,"nee"
"563",5010674,"nee"
"564",5737633,"nee"
"565",5814810,"nee"
"566",5677601,"nee"
"567",5280327,"nee"
"568",5254174,"nee"
"569",5236497,"nee"
"570",5282460,"nee"
"571",5447619,"nee"
"572",5924560,"nee"
"573",5960313,"nee"
"574",5582159,"nee"
"575",5620773,"nee"
"576",5787609,"nee"
"577",5122732,"nee"
"578",5168187,"nee"
"579",5699251,"nee"
"580",5273975,"ja"
"581",5414431,"nee"
"582",5981904,"nee"
"583",5983947,"nee"
"584",5564492,"ja"
"585",5926194,"nee"
"586",5458069,"nee"
"587",5617762,"ja"
"588",5326346,"ja"
"589",5802986,"ja"
"590",5413141,"nee"
"591",5650133,"nee"
"592",5398910,"nee"
"593",5048619,"nee"
"594",5561971,"nee"
"595",5057353,"nee"
"596",5844643,"nee"
"597",5243880,"nee"
"598",5717673,"nee"
"599",5405510,"nee"
"600",5803649,"nee"
"601",5853071,"nee"
"602",5432491,"nee"
"603",5822550,"nee"
"604",5993804,"nee"
"605",5609802,"nee"
"606",5250831,"nee"
"607",5069417,"nee"
"608",5271247,"nee"
"609",5142414,"nee"
"610",5198829,"nee"
"611",5116242,"nee"
"612",5494003,"nee"
"613",5778123,"nee"
"614",5820657,"nee"
"615",5873239,"nee"
"616",5930790,"nee"
"617",5174308,"nee"
"618",5346183,"nee"
"619",5797186,"nee"
"620",5602644,"nee"
"621",5886992,"ja"
"622",5659253,"nee"
"623",5134549,"nee"
"624",5428908,"nee"
"625",5657151,"ja"
"626",5276765,"nee"
"627",5999352,"nee"
"628",5841516,"nee"
"629",5842310,"nee"
"630",5141904,"nee"
"631",5570793,"ja"
"632",5254380,"nee"
"633",5507300,"ja"
"634",5847578,"nee"
"635",5581563,"nee"
"636",5677918,"nee"
"637",5791209,"nee"
"638",5308052,"nee"
"639",5854482,"nee"
"640",5792197,"nee"
"641",5382786,"ja"
"642",5428890,"nee"
"643",5869881,"ja"
"644",5255435,"ja"
"645",5524000,"nee"
"646",5267189,"nee"
"647",5865729,"nee"
"648",5360215,"nee"
"649",5598424,"nee"
"650",5916195,"nee"
"651",5697846,"nee"
"652",5510034,"nee"
"653",5867445,"nee"
"654",5710388,"nee"
"655",5747972,"nee"
"656",5992298,"nee"
"657",5563887,"nee"
"658",5251094,"nee"
"659",5045955,"ja"
"660",5210179,"nee"
"661",5107663,"nee"
"662",5459507,"ja"
"663",5083815,"nee"
"664",5683918,"ja"
"665",5596421,"nee"
"666",5921631,"nee"
"667",5820271,"nee"
"668",5598703,"nee"
"669",5954051,"nee"
"670",5767948,"nee"
"671",5853346,"nee"
"672",5467639,"nee"
"673",5725919,"nee"
"674",5394259,"nee"
"675",5108172,"nee"
"676",5528352,"nee"
"677",5919393,"nee"
"678",5528476,"nee"
"679",5793264,"nee"
"680",5688020,"nee"
"681",5360975,"nee"
"682",5017012,"ja"
"683",5360318,"ja"
"684",5513366,"ja"
"685",5404044,"nee"
"686",5397163,"nee"
"687",5098174,"nee"
"688",5841003,"nee"
"689",5341729,"nee"
"690",5089106,"nee"
"691",5223593,"nee"
"692",5036346,"nee"
"693",5492214,"nee"
"694",5208048,"nee"
"695",5720420,"nee"
"696",5839193,"nee"
"697",5063578,"nee"
"698",5149302,"ja"
"699",5285368,"ja"
"700",5981418,"nee"
"701",5565888,"ja"
"702",5992132,"nee"
"703",5376179,"nee"
"704",5702998,"nee"
"705",5614250,"nee"
"706",5559310,"nee"
"707",5059598,"nee"
"708",5741270,"ja"
"709",5467469,"nee"
"710",5743685,"nee"
"711",5799055,"ja"
"712",5135179,"nee"
"713",5096171,"nee"
"714",5975846,"nee"
"715",5178274,"nee"
"716",5178896,"ja"
"717",5320286,"nee"
"718",5869979,"nee"
"719",5847051,"nee"
"720",5339474,"nee"
"721",5604918,"ja"
"722",5166566,"nee"
"723",5808278,"nee"
"724",5387644,"nee"
"725",5776904,"nee"
"726",5673829,"ja"
"727",5200772,"nee"
"728",5079465,"nee"
"729",5619286,"nee"
"730",5480322,"nee"
"731",5346699,"ja"
"732",5114009,"nee"
"733",5049423,"nee"
"734",5240797,"nee"
"735",5569696,"nee"
"736",5864553,"nee"
"737",5390951,"nee"
"738",5959151,"ja"
"739",5872253,"ja"
"740",5708659,"ja"
"741",5578695,"nee"
"742",5965660,"nee"
"743",5768885,"nee"
"744",5116129,"ja"
"745",5354526,"nee"
"746",5791151,"nee"
"747",5999544,"ja"
"748",5620306,"nee"
"749",5356260,"nee"
"750",5909366,"nee"
"751",5150755,"ja"
"752",5917253,"nee"
"753",5112973,"nee"
"754",5433404,"nee"
"755",5221333,"nee"
"756",5221345,"nee"
"757",5365898,"nee"
"758",5510353,"nee"
"759",5259529,"nee"
"760",5573340,"nee"
"761",5784786,"nee"
"762",5790970,"nee"
"763",5399967,"nee"
"764",5375239,"nee"
"765",5800822,"nee"
"766",5724306,"nee"
"767",5579968,"nee"
"768",5795364,"nee"
"769",5670032,"nee"
"770",5510507,"nee"
"771",5150461,"nee"
"772",5263970,"nee"
"773",5288666,"nee"
"774",5078535,"nee"
"775",5691976,"nee"
"776",5740759,"nee"
"777",5072354,"ja"
"778",5607438,"nee"
"779",5746834,"ja"
"780",5255643,"nee"
"781",5363951,"nee"
"782",5925840,"nee"
"783",5085568,"nee"
"784",5430471,"nee"
"785",5714513,"nee"
"786",5940960,"nee"
"787",5256045,"nee"
"788",5319391,"nee"
"789",5588211,"nee"
"790",5899054,"nee"
"791",5812880,"nee"
"792",5564918,"nee"
"793",5480863,"nee"
"794",5807643,"nee"
"795",5455032,"nee"
"796",5345876,"nee"
"797",5587184,"nee"
"798",5917722,"nee"
"799",5759653,"nee"
"800",5428865,"nee"
"801",5478857,"nee"
"802",5598644,"nee"
"803",5885569,"nee"
"804",5328633,"nee"
"805",5199231,"nee"
"806",5787181,"nee"
"807",5070402,"nee"
"808",5618100,"nee"
"809",5567359,"ja"
"810",5034368,"nee"
"811",5976617,"nee"
"812",5605795,"nee"
"813",5430568,"nee"
"814",5264210,"nee"
"815",5216289,"nee"
"816",5338614,"nee"
"817",5463539,"nee"
"818",5497654,"nee"
"819",5262415,"nee"
"820",5436082,"nee"
"821",5995018,"nee"
"822",5803393,"nee"
"823",5453809,"nee"
"824",5420299,"nee"
"825",5385313,"ja"
"826",5581518,"nee"
"827",5163983,"nee"
"828",5496054,"nee"
"829",5083500,"nee"
"830",5609571,"nee"
"831",5938870,"nee"
"832",5432671,"nee"
"833",5296292,"nee"
"834",5672459,"nee"
"835",5354613,"nee"
"836",5546652,"nee"
"837",5324062,"nee"
"838",5195802,"nee"
"839",5015567,"ja"
"840",5467509,"nee"
"841",5551337,"nee"
"842",5018063,"nee"
"843",5105360,"nee"
"844",5274931,"nee"
"845",5114438,"nee"
"846",5254467,"nee"
"847",5545161,"nee"
"848",5498107,"nee"
"849",5975588,"nee"
"850",5748448,"nee"
"851",5863847,"nee"
"852",5543264,"nee"
"853",5289619,"ja"
"854",5482591,"nee"
"855",5611845,"nee"
"856",5850446,"nee"
"857",5582408,"nee"
"858",5771992,"nee"
"859",5522127,"nee"
"860",5174486,"nee"
"861",5326114,"nee"
"862",5044081,"nee"
"863",5615132,"ja"
"864",5262535,"nee"
"865",5595345,"nee"
"866",5675118,"ja"
"867",5421401,"nee"
"868",5426893,"nee"
"869",5375391,"nee"
"870",5585470,"nee"
"871",5453354,"nee"
"872",5945775,"nee"
"873",5454043,"nee"
"874",5314359,"nee"
"875",5647829,"nee"
"876",5251642,"nee"
"877",5148351,"nee"
"878",5865541,"nee"
"879",5633458,"nee"
"880",5081844,"nee"
"881",5556715,"nee"
"882",5346851,"ja"
"883",5735858,"nee"
"884",5043213,"ja"
"885",5408739,"nee"
"886",5160646,"nee"
"887",5903784,"ja"
"888",5836427,"nee"
"889",5573979,"nee"
"890",5195880,"nee"
"891",5205634,"ja"
"892",5118032,"ja"
"893",5134899,"nee"
"894",5769257,"nee"
"895",5311496,"nee"
"896",5859868,"ja"
"897",5111853,"ja"
"898",5899296,"nee"
"899",5243402,"nee"
"900",5328905,"nee"
"901",5180161,"nee"
"902",5761290,"nee"
"903",5206505,"nee"
"904",5867120,"nee"
"905",5897746,"nee"
"906",5073837,"nee"
"907",5427303,"nee"
"908",5074205,"nee"
"909",5732975,"nee"
"910",5060936,"nee"
"911",5392206,"nee"
"912",5991457,"nee"
"913",5875302,"nee"
"914",5814550,"nee"
"915",5418852,"nee"
"916",5260592,"ja"
"917",5443375,"nee"
"918",5621635,"nee"
"919",5788417,"nee"
"920",5407106,"nee"
"921",5754362,"nee"
"922",5519108,"nee"
"923",5924822,"nee"
"924",5401804,"nee"
"925",5749329,"nee"
"926",5889017,"nee"
"927",5390712,"nee"
"928",5790490,"nee"
"929",5248154,"nee"
"930",5774109,"nee"
"931",5875303,"nee"
"932",5234766,"ja"
"933",5355285,"nee"
"934",5959234,"nee"
"935",5820693,"nee"
"936",5735651,"nee"
"937",5960123,"nee"
"938",5617727,"nee"
"939",5285529,"ja"
"940",5668098,"nee"
"941",5758168,"nee"
"942",5635754,"ja"
"943",5773378,"nee"
"944",5300848,"ja"
"945",5524559,"nee"
"946",5231506,"nee"
"947",5640313,"nee"
"948",5846125,"nee"
"949",5924569,"nee"
"950",5970748,"nee"
"951",5258139,"nee"
"952",5775527,"nee"
"953",5240237,"nee"
"954",5576252,"nee"
"955",5550540,"nee"
"956",5395989,"nee"
"957",5467165,"nee"
"958",5461427,"nee"
"959",5275759,"nee"
"960",5459570,"nee"
"961",5186825,"nee"
"962",5725703,"ja"
"963",5110245,"nee"
"964",5406965,"nee"
"965",5944877,"nee"
"966",5214606,"ja"
"967",5100663,"nee"
"968",5870646,"nee"
"969",5960071,"nee"
"970",5804227,"nee"
"971",5914760,"nee"
"972",5013425,"nee"
"973",5174533,"nee"
"974",5667034,"nee"
"975",5650048,"nee"
"976",5127343,"nee"
"977",5546968,"ja"
"978",5245306,"nee"
"979",5093774,"nee"
"980",5775311,"nee"
"981",5329344,"ja"
"982",5131227,"nee"
"983",5783706,"nee"
"984",5922303,"nee"
"985",5526535,"ja"
"986",5065359,"nee"
"987",5962130,"nee"
"988",5636552,"ja"
"989",5899770,"nee"
"990",5405935,"nee"
"991",5828874,"nee"
"992",5582141,"nee"
"993",5288298,"nee"
"994",5525836,"nee"
"995",5051681,"nee"
"996",5673583,"nee"
"997",5415980,"nee"
"998",5823645,"nee"
"999",5681050,"nee"
"1000",5777302,"nee"
"1001",5489214,"nee"
"1002",5394172,"nee"
"1003",5339492,"ja"
"1004",5988669,"nee"
"1005",5796697,"nee"
"1006",5822393,"nee"
"1007",5352793,"nee"
"1008",5353696,"nee"
"1009",5727816,"nee"
"1010",5663434,"nee"
"1011",5627945,"nee"
"1012",5467028,"nee"
"1013",5123361,"nee"
"1014",5840817,"ja"
"1015",5161993,"nee"
"1016",5659614,"nee"
"1017",5328427,"ja"
"1018",5391407,"nee"
"1019",5460986,"nee"
"1020",5386888,"nee"
"1021",5807844,"nee"
"1022",5627921,"nee"
"1023",5018456,"nee"
"1024",5925269,"nee"
"1025",5233061,"nee"
"1026",5654549,"nee"
"1027",5252814,"ja"
"1028",5551889,"nee"
"1029",5005922,"nee"
"1030",5518412,"nee"
"1031",5119157,"nee"
"1032",5831048,"nee"
"1033",5804632,"nee"
"1034",5145769,"nee"
"1035",5535783,"nee"
"1036",5556138,"nee"
"1037",5316730,"nee"
"1038",5671533,"ja"
"1039",5537174,"nee"
"1040",5719554,"nee"
"1041",5234636,"ja"
"1042",5555070,"nee"
"1043",5492515,"nee"
"1044",5408738,"ja"
"1045",5062153,"nee"
"1046",5720004,"nee"
"1047",5284201,"nee"
"1048",5680770,"nee"
"1049",5749747,"nee"
"1050",5837905,"nee"
"1051",5516642,"nee"
"1052",5286192,"ja"
"1053",5968948,"nee"
"1054",5410494,"nee"
"1055",5725332,"nee"
"1056",5488016,"nee"
"1057",5299879,"nee"
"1058",5973127,"nee"
"1059",5226793,"nee"
"1060",5095988,"nee"
"1061",5976888,"nee"
"1062",5369118,"nee"
"1063",5130261,"ja"
"1064",5605476,"nee"
"1065",5932320,"nee"
"1066",5370494,"nee"
"1067",5535032,"nee"
"1068",5068346,"nee"
"1069",5535060,"nee"
"1070",5465676,"nee"
"1071",5946922,"nee"
"1072",5648378,"nee"
"1073",5508445,"ja"
"1074",5891050,"nee"
"1075",5051603,"nee"
"1076",5347555,"nee"
"1077",5634237,"nee"
"1078",5363632,"nee"
"1079",5447659,"nee"
"1080",5508437,"nee"
"1081",5601366,"nee"
"1082",5563164,"ja"
"1083",5359315,"nee"
"1084",5955126,"nee"
"1085",5064769,"ja"
"1086",5694937,"nee"
"1087",5030905,"nee"
"1088",5902668,"nee"
"1089",5111618,"nee"
"1090",5221062,"nee"
"1091",5010819,"nee"
"1092",5603312,"ja"
"1093",5057081,"nee"
"1094",5814121,"nee"
"1095",5130113,"nee"
"1096",5787701,"nee"
"1097",5592347,"ja"
"1098",5117493,"nee"
"1099",5281639,"nee"
"1100",5769993,"nee"
"1101",5170444,"nee"
"1102",5400205,"nee"
"1103",5331808,"nee"
"1104",5881736,"nee"
"1105",5514208,"nee"
"1106",5149624,"nee"
"1107",5861754,"nee"
"1108",5269168,"nee"
"1109",5341197,"nee"
"1110",5441247,"ja"
"1111",5539519,"ja"
"1112",5774356,"nee"
"1113",5327880,"nee"
"1114",5914606,"ja"
"1115",5911193,"nee"
"1116",5198539,"ja"
"1117",5649176,"nee"
"1118",5398376,"ja"
"1119",5188554,"nee"
"1120",5328239,"nee"
"1121",5456838,"nee"
"1122",5455964,"ja"
"1123",5881370,"nee"
"1124",5780027,"nee"
"1125",5234662,"nee"
"1126",5693643,"nee"
"1127",5117584,"nee"
"1128",5659617,"ja"
"1129",5485584,"ja"
"1130",5602264,"ja"
"1131",5905174,"ja"
"1132",5777411,"nee"
"1133",5403666,"ja"
"1134",5943799,"nee"
"1135",5853923,"nee"
"1136",5787535,"ja"
"1137",5362960,"nee"
"1138",5690198,"ja"
"1139",5281733,"nee"
"1140",5685703,"nee"
"1141",5112924,"nee"
"1142",5456867,"ja"
"1143",5553778,"nee"
"1144",5286984,"nee"
"1145",5773891,"nee"
"1146",5853926,"nee"
"1147",5801748,"ja"
"1148",5091355,"nee"
"1149",5830613,"nee"
"1150",5967354,"nee"
